"Id","IsDeleted","LLC_BI__Description__c","LLC_BI__FScreen__c","LLC_BI__Is_Disabled__c","LLC_BI__Is_Template__c","LLC_BI__Linked_Placeholder_Id__c","LLC_BI__Object_API_Name__c","LLC_BI__lookupKey__c","Name","OwnerId"
"a24WD00000Cxm8FYAR","false","","","false","true","","","2.82658750812792E","a24WD00000Cxm8F","005al00000RVcKvAAL"
"a24WD00000CxoQhYAJ","false","","","false","true","","","4.818051020908376","a24WD00000CxoQh","005al00000RVcKvAAL"
"a24WD00000Cxo3CYAR","false","","","false","true","","","42001109617472480","a24WD00000Cxo3C","005al00000RVcKvAAL"
"a24WD00000CxoQZYAZ","false","","","false","true","","","42001151127717540","a24WD00000CxoQZ","005al00000RVcKvAAL"
"a24WD00000CxoNQYAZ","false","","","false","true","","","42001232635895905","a24WD00000CxoNQ","005al00000RVcKvAAL"
"a24WD00000CxoVpYAJ","false","","","false","true","","","42001267180399441","a24WD00000CxoVp","005al00000RVcKvAAL"
"a24WD00000CxoENYAZ","false","","","false","true","","","42001544575701836","a24WD00000CxoEN","005al00000RVcKvAAL"
"a24WD00000CxoEwYAJ","false","","","false","true","","","42001700000718497","a24WD00000CxoEw","005al00000RVcKvAAL"
"a24WD00000CxnoYYAR","false","","","false","true","","","42002088273361961","a24WD00000CxnoY","005al00000RVcKvAAL"
"a24WD00000CxdFeYAJ","false","","","false","true","","","42003328143840717","a24WD00000CxdFe","005al00000RVcKvAAL"
"a24WD00000CxnwWYAR","false","","","false","true","","","42003514293842700","a24WD00000CxnwW","005al00000RVcKvAAL"
"a24WD00000CxoKJYAZ","false","","","false","true","","","42003712061992439","a24WD00000CxoKJ","005al00000RVcKvAAL"
"a24WD00000CxoGuYAJ","false","","","false","true","","","42003832417695077","a24WD00000CxoGu","005al00000RVcKvAAL"
"a24WD00000Cxm8DYAR","false","","","false","true","","","42003855514143813","a24WD00000Cxm8D","005al00000RVcKvAAL"
"a24WD00000CxoNxYAJ","false","","","false","true","","","42005122426950504","a24WD00000CxoNx","005al00000RVcKvAAL"
"a24WD00000CxntvYAB","false","","","false","true","","","42005318793158638","a24WD00000Cxntv","005al00000RVcKvAAL"
"a24WD00000CxnuwYAB","false","","","false","true","","","42005329572465081","a24WD00000Cxnuw","005al00000RVcKvAAL"
"a24WD00000CxnkNYAR","false","","","false","true","","","42005790995778882","a24WD00000CxnkN","005al00000RVcKvAAL"
"a24WD00000CxnrEYAR","false","","","false","true","","","42006449326033642","a24WD00000CxnrE","005al00000RVcKvAAL"
"a24WD00000CxnqfYAB","false","","","false","true","","","42006452711397002","a24WD00000Cxnqf","005al00000RVcKvAAL"
"a24WD00000CxkqdYAB","false","","","false","true","","","42006480354647596","a24WD00000Cxkqd","005al00000RVcKvAAL"
"a24WD00000CxoKjYAJ","false","","","false","true","","","42006792600728865","a24WD00000CxoKj","005al00000RVcKvAAL"
"a24WD00000CxoFQYAZ","false","","","false","true","","","42006818279064909","a24WD00000CxoFQ","005al00000RVcKvAAL"
"a24WD00000Cxo9fYAB","false","","","false","true","","","42006979677192942","a24WD00000Cxo9f","005al00000RVcKvAAL"
"a24WD00000CxoTiYAJ","false","","","false","true","","","42007742895058765","a24WD00000CxoTi","005al00000RVcKvAAL"
"a24WD00000CxoAcYAJ","false","","","false","true","","","42007789701507381","a24WD00000CxoAc","005al00000RVcKvAAL"
"a24WD00000Cxo1lYAB","false","","","false","true","","","42007828090991997","a24WD00000Cxo1l","005al00000RVcKvAAL"
"a24WD00000CxoApYAJ","false","","","false","true","","","42008055760046519","a24WD00000CxoAp","005al00000RVcKvAAL"
"a24WD00000CxnwaYAB","false","","","false","true","","","42008237259113866","a24WD00000Cxnwa","005al00000RVcKvAAL"
"a24WD00000CxoJeYAJ","false","","","false","true","","","42008255516463453","a24WD00000CxoJe","005al00000RVcKvAAL"
"a24WD00000CxnygYAB","false","","","false","true","","","42008336890507780","a24WD00000Cxnyg","005al00000RVcKvAAL"
"a24WD00000CxkqjYAB","false","","","false","true","","","42008346992002832","a24WD00000Cxkqj","005al00000RVcKvAAL"
"a24WD00000CxoITYAZ","false","","","false","true","","","42008591571568574","a24WD00000CxoIT","005al00000RVcKvAAL"
"a24WD00000Cxo5WYAR","false","","","false","true","","","42008615910666966","a24WD00000Cxo5W","005al00000RVcKvAAL"
"a24WD00000CxoFEYAZ","false","","","false","true","","","42009203677186125","a24WD00000CxoFE","005al00000RVcKvAAL"
"a24WD00000CxkqGYAR","false","","","false","true","","","42009573444344398","a24WD00000CxkqG","005al00000RVcKvAAL"
"a24WD00000CxoAPYAZ","false","","","false","true","","","42010393660145672","a24WD00000CxoAP","005al00000RVcKvAAL"
"a24WD00000Cxnp4YAB","false","","","false","true","","","42010522410557205","a24WD00000Cxnp4","005al00000RVcKvAAL"
"a24WD00000Cxm9UYAR","false","","","false","true","","","42011146949003693","a24WD00000Cxm9U","005al00000RVcKvAAL"
"a24WD00000CxdFhYAJ","false","","","false","true","","","42011224950629193","a24WD00000CxdFh","005al00000RVcKvAAL"
"a24WD00000CxoMlYAJ","false","","","false","true","","","42012375205710290","a24WD00000CxoMl","005al00000RVcKvAAL"
"a24WD00000CxoUvYAJ","false","","","false","true","","","42012926959419702","a24WD00000CxoUv","005al00000RVcKvAAL"
"a24WD00000CxoVLYAZ","false","","","false","true","","","42013001321750139","a24WD00000CxoVL","005al00000RVcKvAAL"
"a24WD00000CxoLxYAJ","false","","","false","true","","","42013348851287998","a24WD00000CxoLx","005al00000RVcKvAAL"
"a24WD00000Cxjj7YAB","false","","","false","true","","","42013434665811013","a24WD00000Cxjj7","005al00000RVcKvAAL"
"a24WD00000CxoNhYAJ","false","","","false","true","","","42013712087909414","a24WD00000CxoNh","005al00000RVcKvAAL"
"a24WD00000Cxo7yYAB","false","","","false","true","","","42013994615765713","a24WD00000Cxo7y","005al00000RVcKvAAL"
"a24WD00000CxoMDYAZ","false","","","false","true","","","42014082382644354","a24WD00000CxoMD","005al00000RVcKvAAL"
"a24WD00000Cxo2AYAR","false","","","false","true","","","42014272032713256","a24WD00000Cxo2A","005al00000RVcKvAAL"
"a24WD00000CxoHkYAJ","false","","","false","true","","","42014303421869029","a24WD00000CxoHk","005al00000RVcKvAAL"
"a24WD00000CxoQ6YAJ","false","","","false","true","","","42014711541816420","a24WD00000CxoQ6","005al00000RVcKvAAL"
"a24WD00000CxdFRYAZ","false","","","false","true","","","42014976512060682","a24WD00000CxdFR","005al00000RVcKvAAL"
"a24WD00000CxoCwYAJ","false","","","false","true","","","42015175442911331","a24WD00000CxoCw","005al00000RVcKvAAL"
"a24WD00000CxoFJYAZ","false","","","false","true","","","42015678273958810","a24WD00000CxoFJ","005al00000RVcKvAAL"
"a24WD00000CxoQsYAJ","false","","","false","true","","","42016175535477781","a24WD00000CxoQs","005al00000RVcKvAAL"
"a24WD00000Cxo72YAB","false","","","false","true","","","42016442223421645","a24WD00000Cxo72","005al00000RVcKvAAL"
"a24WD00000CxoCUYAZ","false","","","false","true","","","42016701719796096","a24WD00000CxoCU","005al00000RVcKvAAL"
"a24WD00000Cxo6bYAB","false","","","false","true","","","42017048370486423","a24WD00000Cxo6b","005al00000RVcKvAAL"
"a24WD00000CxoUDYAZ","false","","","false","true","","","42017496588368483","a24WD00000CxoUD","005al00000RVcKvAAL"
"a24WD00000Cxm99YAB","false","","","false","true","","","42017913299506634","a24WD00000Cxm99","005al00000RVcKvAAL"
"a24WD00000Cxnp0YAB","false","","","false","true","","","42018057469333567","a24WD00000Cxnp0","005al00000RVcKvAAL"
"a24WD00000Cxo7PYAR","false","","","false","true","","","42018324151875421","a24WD00000Cxo7P","005al00000RVcKvAAL"
"a24WD00000CxoCbYAJ","false","","","false","true","","","42018407645166479","a24WD00000CxoCb","005al00000RVcKvAAL"
"a24WD00000CxoO2YAJ","false","","","false","true","","","42018416350488756","a24WD00000CxoO2","005al00000RVcKvAAL"
"a24WD00000CxoKlYAJ","false","","","false","true","","","42018649833688130","a24WD00000CxoKl","005al00000RVcKvAAL"
"a24WD00000CxnyOYAR","false","","","false","true","","","42020287553098837","a24WD00000CxnyO","005al00000RVcKvAAL"
"a24WD00000CxntxYAB","false","","","false","true","","","42020533253935970","a24WD00000Cxntx","005al00000RVcKvAAL"
"a24WD00000Cxo93YAB","false","","","false","true","","","42020966750473439","a24WD00000Cxo93","005al00000RVcKvAAL"
"a24WD00000CxoVmYAJ","false","","","false","true","","","42020993661323187","a24WD00000CxoVm","005al00000RVcKvAAL"
"a24WD00000CxnoGYAR","false","","","false","true","","","42021536300363756","a24WD00000CxnoG","005al00000RVcKvAAL"
"a24WD00000Cxo64YAB","false","","","false","true","","","42021782779208254","a24WD00000Cxo64","005al00000RVcKvAAL"
"a24WD00000CxoRGYAZ","false","","","false","true","","","42022085490057869","a24WD00000CxoRG","005al00000RVcKvAAL"
"a24WD00000CxoJzYAJ","false","","","false","true","","","42022358524737665","a24WD00000CxoJz","005al00000RVcKvAAL"
"a24WD00000CxnvtYAB","false","","","false","true","","","42022977938752661","a24WD00000Cxnvt","005al00000RVcKvAAL"
"a24WD00000CxoUWYAZ","false","","","false","true","","","42023335518489895","a24WD00000CxoUW","005al00000RVcKvAAL"
"a24WD00000Cxo4UYAR","false","","","false","true","","","42024226733467808","a24WD00000Cxo4U","005al00000RVcKvAAL"
