"Id","OwnerId","IsDeleted","Name","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c","Description_Custom__c","AutorabitExtId__c"
"a0XWD000002y3DC2AY","005al00000RVcKvAAL","false","atbk_Loan.Retail","","core-specific-info","","false","","false","true","","core-specific-info","23452345236546435","",""
"a0XWD000002y3GV2AY","005al00000RVcKvAAL","false","CP Group_M_03","","CP_UIConfig_M_03","","false","","false","false","a0XWD000002y3GT2AY","","42006593820447392","",""
"a0XWD000002y3Gw2AI","005al00000RVcKvAAL","false","New PP Group","","new pp-group","","false","","false","false","","","42016060607857011","",""
"a0XWD000002y3Gj2AI","005al00000RVcKvAAL","false","Loan Main","","loan-main","","false","","false","false","","loan-main","42028527396766642","",""
"a0XWD000002y3Go2AI","005al00000RVcKvAAL","false","Remote Deposit Capture","","tmmg-RemoteDepositCapture00-00","","false","","false","false","","tmmg-RemoteDepositCapture00-00","42045189276028424","",""
"a0XWD000002y3Gi2AI","005al00000RVcKvAAL","false","Relationship","","relationship-training","","false","","false","false","","relationship-training","42095159114228228","",""
"a0XWD000002y3Gk2AI","005al00000RVcKvAAL","false","Product Package Details","","pp-details-training","","false","","false","false","","pp-details-training","42095990631305697","",""
"a0XWD000002y3GX2AY","005al00000RVcKvAAL","false","CP Group_PC_T","","CP_UIConfig_PC_T","","false","","false","false","","","42096073558072814","",""
"a0XWD000002y3DE2AY","005al00000RVcKvAAL","false","Business KYC - Loan Onboarding","","","","false","","false","true","","","42122695786840271","",""
"a0XWD000002y3Ga2AI","005al00000RVcKvAAL","false","CP Group_PO_F","","CP_UIConfig_F","","false","","false","false","","","42170311110272447","",""
"a0XWD000002y3Gx2AI","005al00000RVcKvAAL","false","New Surya Group","","new-surya-group","","false","","false","false","","","42195386599368002","",""
"a0XWD000002y3Gg2AI","005al00000RVcKvAAL","false","CP UIConfig_QP_Post_Save_RSP","","CP_UIConfig_QP_Post_Save_RSP","","false","","false","false","a0XWD000002y3Gs2AI","","42202065405923511","",""
"a0XWD000002y3Gb2AI","005al00000RVcKvAAL","false","CP Group_QPH","","CP_UIConfig_QPH","","false","","false","false","","","42362501444638974","",""
