"Id","IsDeleted","LLC_BI__Amount_Budgeted__c","LLC_BI__Budget__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","Name"
"a1UWD000005gD0k2AE","false","","a1WWD000002V38h2AC","Hard cost","Landscaping","","250.0","","","0.0","","0.0","0.0","","","02eswj73js99umg1vc","CLA-BD-0001557"
"a1UWD000005gD0l2AE","false","","a1WWD000002V39P2AS","Hard cost","Gutters and Downspouts","","140.0","","","0.0","","","0.0","","","077la94tgch2xw1r50","CLA-BD-0001558"
"a1UWD000005gD0m2AE","false","1200.0","a1WWD000002V39Q2AS","Soft cost","Permits / Fees","","10.0","","","0.0","100.0","","1200.0","","","07iktk76gpjzem8txw","CLA-BD-0001559"
"a1UWD000005gD0n2AE","false","","a1WWD000002V39U2AS","Hard cost","Shingles","","211.0","","","0.0","","","0.0","","","0ac6h743h6ur16ecqu","CLA-BD-0001560"
"a1UWD000005gD0o2AE","false","","a1WWD000002V39W2AS","","Stairs","","110.0","","","0.0","","0.0","0.0","","","0cb3l7aexh2jummpbu","CLA-BD-0001561"
"a1UWD000005gD0p2AE","false","850.0","a1WWD000002V39P2AS","Soft cost","Surveys","","11.0","","","0.0","100.0","","850.0","","","0dspxzlayab0a1vv0r","CLA-BD-0001562"
"a1UWD000005gD0q2AE","false","","a1WWD000002V38h2AC","Soft cost","Bonds & Insurance","","6.0","","","0.0","","0.0","0.0","","","0k1rh0jhewymbgej1e","CLA-BD-0001563"
"a1UWD000005gD0r2AE","false","","a1WWD000002V39X2AS","","Water Pump","","80.0","","","0.0","","","0.0","","","0kifxe0sc23zfovsyq","CLA-BD-0001564"
"a1UWD000005gD0s2AE","false","","a1WWD000002V39W2AS","","Steel","","50.0","","","0.0","","0.0","0.0","","","0m3h6jm084u88tpgvr","CLA-BD-0001565"
"a1UWD000005gD0t2AE","false","5000.0","a1WWD000002V39V2AS","Soft cost","Commission & Fees","","510.0","","","0.0","100.0","","5000.0","","","0pwhz9wi5tosx4s61j","CLA-BD-0001566"
"a1UWD000005gD0u2AE","false","900.0","a1WWD000002V38f2AC","","Impact Fees","","20.0","","","0.0","100.0","0.06","900.0","","","0qwxgpyr1699ph3zky","CLA-BD-0001567"
"a1UWD000005gD0v2AE","false","67500.0","a1WWD000002V38g2AC","","Painting","","210.0","","","0.0","100.0","4.5","67500.0","","","0su63lv8ep8egz51ff","CLA-BD-0001568"
"a1UWD000005gD0w2AE","false","","a1WWD000002V38h2AC","Hard cost","Painting","","210.0","","","0.0","","0.0","0.0","","","0t16qe1fc0w5o970jq","CLA-BD-0001569"
"a1UWD000005gD0x2AE","false","","a1WWD000002V39W2AS","","Siding","","130.0","","","0.0","","0.0","0.0","","","0x0a1d4jew8g8dqjql","CLA-BD-0001570"
"a1UWD000005gD0y2AE","false","8000.0","a1WWD000002V38f2AC","","Electrical","","160.0","","","0.0","100.0","0.5333","8000.0","","","118wh8tgz0p8h8zy7h","CLA-BD-0001571"
"a1UWD000005gD0z2AE","false","850.0","a1WWD000002V38g2AC","","Surveys","","11.0","","","0.0","100.0","0.0567","850.0","","","12st9rzg9cc3yptx5i","CLA-BD-0001572"
