"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Remaining__c","AutorabitExtId__c"
"a1WWE0000059G212AE","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","2026-07-24T13:09:24.000Z","005al00000RVcKvAAL","2026-07-24T13:09:24.000Z","005al00000RVcKvAAL","2026-07-24T13:09:24.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001064988434645","","","","","","","","0.0","0.0",""
"a1WWE0000059GAb2AM","005al00000RVcKvAAL","false","new annual budget","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001162066606083","","","","","","","","0.0","0.0",""
"a1WWE0000059GM92AM","005al00000RVcKvAAL","false","a1WWD000002VhFh","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001510747882008","","","","","","","","0.0","0.0",""
"a1WWE0000059G9t2AE","005al00000RVcKvAAL","false","Residential Construction Budget Template","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001569791985252","","","","","","","","0.0","0.0",""
"a1WWE0000059GPi2AM","005al00000RVcKvAAL","false","a1WWD000002VbAU","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001667449773714","","","","","","","","0.0","0.0",""
"a1WWE0000059GJF2A2","005al00000RVcKvAAL","false","a1WWD000002VhFf","2026-07-24T13:09:23.000Z","005al00000RVcKvAAL","2026-07-24T13:09:23.000Z","005al00000RVcKvAAL","2026-07-24T13:09:23.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42001975779228368","","","","","","","","0.0","0.0",""
"a1WWE0000059H2Y2AU","005al00000RVcKvAAL","false","a1WWD000002VbDY","2026-07-24T13:09:27.000Z","005al00000RVcKvAAL","2026-07-24T13:09:27.000Z","005al00000RVcKvAAL","2026-07-24T13:09:27.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42002089995006741","","","","","","","","0.0","0.0",""
"a1WWE0000059GG92AM","005al00000RVcKvAAL","false","Residential Construction Budget Template","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003061917865015","","","","","","","","0.0","0.0",""
"a1WWE0000059H0c2AE","005al00000RVcKvAAL","false","CLA Simple Budget 1 Template","2026-07-24T13:09:27.000Z","005al00000RVcKvAAL","2026-07-24T13:09:27.000Z","005al00000RVcKvAAL","2026-07-24T13:09:27.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42003974109696090","","","","","","","","0.0","0.0",""
"a1WWE0000059GLI2A2","005al00000RVcKvAAL","false","a1WWD000002Vaz0","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42004079000514083","","","","","","","","0.0","0.0",""
"a1WWE0000059GFK2A2","005al00000RVcKvAAL","false","Budgets-02","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42004328107254793","","","","","","","","0.0","0.0",""
"a1WWE0000059GGA2A2","005al00000RVcKvAAL","false","Swimming Pool Construction Budget Template","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42004989428287149","","","","","","","","0.0","0.0",""
"a1WWE0000059GTx2AM","005al00000RVcKvAAL","false","Maple Construction Loan Budget","2026-07-24T13:09:23.000Z","005al00000RVcKvAAL","2026-07-24T13:09:23.000Z","005al00000RVcKvAAL","2026-07-24T13:09:23.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42005124492307730","","","","","","","","0.0","0.0",""
"a1WWE0000059GX12AM","005al00000RVcKvAAL","false","RS budget 5","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42005268681049048","","","","","","","","0.0","0.0",""
"a1WWE0000059GCT2A2","005al00000RVcKvAAL","false","New Budgets 01","2026-07-24T13:09:23.000Z","005al00000RVcKvAAL","2026-07-24T13:09:23.000Z","005al00000RVcKvAAL","2026-07-24T13:09:23.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42005565889263491","","","","","","","","0.0","0.0",""
"a1WWE0000059GwU2AU","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template","2026-07-24T13:09:26.000Z","005al00000RVcKvAAL","2026-07-24T13:09:26.000Z","005al00000RVcKvAAL","2026-07-24T13:09:26.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006042671161339","","","","","","","","0.0","0.0",""
"a1WWE0000059H1z2AE","005al00000RVcKvAAL","false","a1WWD000002Vayx","2026-07-24T13:09:27.000Z","005al00000RVcKvAAL","2026-07-24T13:09:27.000Z","005al00000RVcKvAAL","2026-07-24T13:09:27.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006191008071808","","","","","","","","0.0","0.0",""
"a1WWE0000059Gcj2AE","005al00000RVcKvAAL","false","Security budget","2026-07-24T13:09:26.000Z","005al00000RVcKvAAL","2026-07-24T13:09:26.000Z","005al00000RVcKvAAL","2026-07-24T13:09:26.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006414403998432","","","","","","","","0.0","0.0",""
"a1WWE0000059Gc32AE","005al00000RVcKvAAL","false","CLA Simple Budget 1 Template","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","005al00000RVcKvAAL","2026-07-24T13:09:25.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006616621847391","","","","","","","","0.0","0.0",""
"a1WWE0000059GXe2AM","005al00000RVcKvAAL","false","CLA Simple Budget 1 Template","2026-07-24T13:09:23.000Z","005al00000RVcKvAAL","2026-07-24T13:09:23.000Z","005al00000RVcKvAAL","2026-07-24T13:09:23.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006675064120717","","","","","","","","0.0","0.0",""
"a1WWE0000059Gdr2AE","005al00000RVcKvAAL","false","Porters Neck","2026-07-24T13:09:24.000Z","005al00000RVcKvAAL","2026-07-24T13:09:24.000Z","005al00000RVcKvAAL","2026-07-24T13:09:24.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006689759022987","","","","","","","","0.0","0.0",""
"a1WWE0000059G5u2AE","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template Update","2026-07-24T13:09:24.000Z","005al00000RVcKvAAL","2026-07-24T13:09:24.000Z","005al00000RVcKvAAL","2026-07-24T13:09:24.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42006840733412286","","","","","","","","0.0","0.0",""
"a1WWE0000059GYu2AM","005al00000RVcKvAAL","false","a1WWD000002VP10","2026-07-24T13:09:23.000Z","005al00000RVcKvAAL","2026-07-24T13:09:23.000Z","005al00000RVcKvAAL","2026-07-24T13:09:23.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42007021647062885","","","","","","","","0.0","0.0",""
"a1WWE0000059Gmi2AE","005al00000RVcKvAAL","false","CLA Complex Budget 1 Template3","2026-07-24T13:09:24.000Z","005al00000RVcKvAAL","2026-07-24T13:09:24.000Z","005al00000RVcKvAAL","2026-07-24T13:09:24.000Z","","","","","","","true","false","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42007052946982634","","","","","","","","0.0","0.0",""
