"Id","OwnerId","IsDeleted","Name","LLC_BI__Branch_Id__c","LLC_BI__City__c","LLC_BI__County__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Institution__c","LLC_BI__Location__Latitude__s","LLC_BI__Location__Longitude__s","LLC_BI__Location__c","LLC_BI__Mortgage_License_State__c","LLC_BI__Mortgage_License__c","LLC_BI__NMLS__c","LLC_BI__State__c","LLC_BI__Street__c","LLC_BI__Zip_Code__c","LLC_BI__lookupKey__c","AutorabitExtId__c"
"a1TWD000001ox7b2AA","005al00000RVcKvAAL","false","Porters Neck","765","Chicago","","","a31WD000001k07hYAA","41.830047","87.602809","XmlObjectWrapper{name={urn:sobject.partner.soap.sforce.com}LLC_BI__Location__c, xmlizable=[Location  latitude='41.830047'
 longitude='87.602809'
]
}","","","","IL","3155 S Lake Shore Drive","60616","42637738016507082","a1TWD000001ox7b2AA"
"a1TWD000001ox7c2AA","005al00000RVcKvAAL","false","Branch 2-Updated 2","","","","","","","","","","","","","","","42474163793354642","a1TVx00000F44Z6MAJ"
"a1TWD000001ox7d2AA","005al00000RVcKvAAL","false","Branch new 1","","","","","","","","","","","","","","","42274697852735677","a1TVx00000F44Z7MAJ"
"a1TWD000001ox7e2AA","005al00000RVcKvAAL","false","DT-5180-Record03-BackSlash","","","","","","","","","","","","","","","\      981723123\ ","a1TVx00000F452hMAB"
"a1TWD000001ox7f2AA","005al00000RVcKvAAL","false","Singlequote-DT5180","","","","","","","","","","","","","","","\      Test123\ ","a1TVx00000F452iMAB"
"a1TWD000001ox7g2AA","005al00000RVcKvAAL","false","DT-5180-Record03-BackSlash","","","","","","","","","","","","","","","\       981723123\ ","a1TVx00000F44g4MAB"
"a1TWD000001ox7h2AA","005al00000RVcKvAAL","false","Singlequote-DT5180","","","","","","","","","","","","","","","\       Test123\ ","a1TVx00000F44gFMAR"
"a1TWD000001ox7i2AA","005al00000RVcKvAAL","false","Hyd Qa","","","","","","","","","","","","","","","42405670057585693","a1TVx00000F44ZCMAZ"
"a1TWD000001ox7j2AA","005al00000RVcKvAAL","false","DT-5180-Record03-BackSlash","","","","","","","","","","","","","","","\        981723123\ ","a1TVx00000F44Z8MAJ"
"a1TWD000001ox7k2AA","005al00000RVcKvAAL","false","Singlequote-DT5180","","","","","","","","","","","","","","","\        Test123\ ","a1TVx00000F44Z9MAJ"
"a1TWD000001ox7l2AA","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","","","","","","","","","","","","IL","","","/""813154123/""","a1TVx00000F44ZFMAZ"
"a1TWD000001ox7m2AA","005al00000RVcKvAAL","false","doublequote-DT5180","","","","","","","","","","","","","","","//""Test123//""","a1TVx00000F44ZGMAZ"
"a1TWD000001ox7n2AA","005al00000RVcKvAAL","false","QA Branch for RollBack","50001","NJ","","","","","","","","","","CT","CA","16529","42769899187814773","a1TVx00000F44ZHMAZ"
"a1TWD000001ox7o2AA","005al00000RVcKvAAL","false","QA Branch for RollBack-002","50002","NJ","","","","","","","","","","CT","CA","16529","42969312541966432","a1TVx00000F44ZIMAZ"
"a1TWD000001ox7p2AA","005al00000RVcKvAAL","false","NewBranch-July-10-OnPremise","","","","","","","","","","","","","","","42425639847007241","a1TVx00000F44ZJMAZ"
"a1TWD000001ox7q2AA","005al00000RVcKvAAL","false","NewBranch-July-10-OnPremise-01","","","","","","","","","","","","","","","42927478242879563","a1TVx00000F44ZKMAZ"
"a1TWD000001ox7r2AA","005al00000RVcKvAAL","false","Test-For-Rollback-0712-001","","Hyd","","","","","","","","","","CA","Hitech City","580008","42969916523147144","a1TVx00000F44ZLMAZ"
"a1TWD000001ox7s2AA","005al00000RVcKvAAL","false","rollBackOrg","","","","","","","","","","","","","","","42104574955904923","a1TVx00000F44ZMMAZ"
"a1TWD000001ox7t2AA","005al00000RVcKvAAL","false","Hyd Telangana dev 01","","","","","","","","","","","","","","","42681371586193062","a1TVx00000F44ZNMAZ"
"a1TWD000001ox7u2AA","005al00000RVcKvAAL","false","Hyd Qa","","","","","","","","","","","","","","","42683783043332395","a1TVx00000F44ZOMAZ"
"a1TWD000001ox7v2AA","005al00000RVcKvAAL","false","Hyd dev","","","","","","","","","","","","","","","42017857270307298","a1TVx00000F44ZPMAZ"
"a1TWD000001ox7w2AA","005al00000RVcKvAAL","false","Wilmington","","Wilmington","","","","","","","","","","","","","4.22704E+16","a1TVx00000F44ZQMAZ"
"a1TWD000001ox7x2AA","005al00000RVcKvAAL","false","Mumbai","502","Mumbai","","","","","","","","","","","","","4.21749E+16","a1TVx00000F44ZRMAZ"
"a1TWD000001ox7y2AA","005al00000RVcKvAAL","false","AR-Branch-Test","1213","Hyderabad","","","","","","","","","","","Mindspace","500036","42277346657862025","a1TVx00000F44ZSMAZ"
"a1TWD000001ox7z2AA","005al00000RVcKvAAL","false","Wilmington","","","","","","","","","","","","","","","12312231987262","a1TVx00000F44ZTMAZ"
"a1TWD000001ox802AA","005al00000RVcKvAAL","false","London City","00-00-00","London","","","","","","","","","","","","","42984981530106460","a1TVx00000F44ZUMAZ"
"a1TWD000001ox812AA","005al00000RVcKvAAL","false","Manchester","00-00-01","Manchester","","","","","","","","","","","","","42816112327745586","a1TVx00000F44ZVMAZ"
"a1TWD000001ox822AA","005al00000RVcKvAAL","false","Toulouse","4","","","","","","","","","","","","","","4.21E+16","a1TVx00000F44ZWMAZ"
"a1TWD000001ox832AA","005al00000RVcKvAAL","false","Barcelona","","","","","","","","","","","","","","","4.29E+16","a1TVx00000F44ZXMAZ"
"a1TWD000001ox842AA","005al00000RVcKvAAL","false","Rome","","","","","","","","","","","","","","","4.25E+16","a1TVx00000F44ZYMAZ"
"a1TWD000001ox852AA","005al00000RVcKvAAL","false","Naples","","","","","","","","","","","","","","","4.20E+16","a1TVx00000F44ZZMAZ"
"a1TWD000001ox862AA","005al00000RVcKvAAL","false","Bristol","00-00-02","Bristol","","","","","","","","","","","","","42623705816678938","a1TVx00000F44ZaMAJ"
"a1TWD000001ox872AA","005al00000RVcKvAAL","false","Liverpool","00-00-03","Liverpool","","","","","","","","","","","","","42234277122631192","a1TVx00000F44ZbMAJ"
"a1TWD000001ox882AA","005al00000RVcKvAAL","false","Paris","2","Paris","","","","","","","","","","","","","42187439089132066","a1TVx00000F44ZcMAJ"
"a1TWD000001ox892AA","005al00000RVcKvAAL","false","Marseille","3","Marseille","","","","","","","","","","","","","42232433769901310","a1TVx00000F44ZdMAJ"
"a1TWD000001ox8A2AQ","005al00000RVcKvAAL","false","Toulouse01","4","Toulouse","","","","","","","","","","","","","42113662998770322","a1TVx00000F44ZeMAJ"
"a1TWD000001ox8B2AQ","005al00000RVcKvAAL","false","Madrid","","Madrid","","","","","","","","","","","","","42060257462079232","a1TVx00000F44ZfMAJ"
"a1TWD000001ox8C2AQ","005al00000RVcKvAAL","false","Barcelona","","Barcelona","","","","","","","","","","","","","42899159769439821","a1TVx00000F44ZgMAJ"
"a1TWD000001ox8D2AQ","005al00000RVcKvAAL","false","Valencia","","Valencia","","","","","","","","","","","","","42950805545528693","a1TVx00000F44ZhMAJ"
"a1TWD000001ox8E2AQ","005al00000RVcKvAAL","false","Seville","","Seville","","","","","","","","","","","","","42304069554666446","a1TVx00000F44ZiMAJ"
"a1TWD000001ox8F2AQ","005al00000RVcKvAAL","false","Rome","","Rome","","","","","","","","","","","","","42475652994774891","a1TVx00000F44ZjMAJ"
"a1TWD000001ox8G2AQ","005al00000RVcKvAAL","false","Milan","","Milan","","","","","","","","","","","","","42193729222229818","a1TVx00000F44ZkMAJ"
"a1TWD000001ox8H2AQ","005al00000RVcKvAAL","false","Naples","","Naples","","","","","","","","","","","","","42041492848728951","a1TVx00000F44ZlMAJ"
"a1TWD000001ox8I2AQ","005al00000RVcKvAAL","false","Turin","","Turin","","","","","","","","","","","","","42696661317723472","a1TVx00000F44ZmMAJ"
"a1TWD000001ox8J2AQ","005al00000RVcKvAAL","false","Berlin","","Berlin","","","","","","","","","","","","","42161013540773511","a1TVx00000F44ZnMAJ"
"a1TWD000001ox8K2AQ","005al00000RVcKvAAL","false","Hamburg","","Hamburg","","","","","","","","","","","","","42757967926654723","a1TVx00000F44ZoMAJ"
"a1TWD000001ox8L2AQ","005al00000RVcKvAAL","false","Munich","","Munich","","","","","","","","","","","","","42287382038643938","a1TVx00000F44ZpMAJ"
"a1TWD000001ox8M2AQ","005al00000RVcKvAAL","false","Cologne","","Cologne","","","","","","","","","","","","","42737723738240624","a1TVx00000F44ZqMAJ"
"a1TWD000001ox8N2AQ","005al00000RVcKvAAL","false","QA - Branch 002","52","Bangalore","","","","","","","","","","","KA","560064","42800838010681455","a1TVx00000F44ZrMAJ"
"a1TWD000001ox8O2AQ","005al00000RVcKvAAL","false","QA - Branch 003","53","myCity","","","","","","","","","","","myStreet","123456","42483464176160371","a1TVx00000F44ZsMAJ"
"a1TWD000001ox8P2AQ","005al00000RVcKvAAL","false","QA - Branch 004-0712 Update","54","myCityTest","","","","","","","","","","","myStreetTest","560066","42576448528245971","a1TVx00000F44ZtMAJ"
"a1TWD000001ox8Q2AQ","005al00000RVcKvAAL","false","SriBranchesTest1","","","","","","","","","","","","","","","42611603063655638","a1TVx00000F44ZuMAJ"
"a1TWD000001ox8R2AQ","005al00000RVcKvAAL","false","AR-Branch-Test","","","","","","","","","","","","","","","4.22773E+16","a1TVx00000F44ZvMAJ"
"a1TWD000001ox8S2AQ","005al00000RVcKvAAL","false","Wilmington","","","","","","","","","","","","","","","1.23122E+13","a1TVx00000F44ZwMAJ"
"a1TWD000001ox8T2AQ","005al00000RVcKvAAL","false","London City","00-00-00","","","","","","","","","","","","","","4.2985E+16","a1TVx00000F44ZxMAJ"
"a1TWD000001ox8U2AQ","005al00000RVcKvAAL","false","Manchester","00-00-01","","","","","","","","","","","","","","4.28161E+16","a1TVx00000F44ZyMAJ"
"a1TWD000001ox8V2AQ","005al00000RVcKvAAL","false","Bristol","00-00-02","","","","","","","","","","","","","","4.26237E+16","a1TVx00000F44ZzMAJ"
"a1TWD000001ox8W2AQ","005al00000RVcKvAAL","false","Liverpool","00-00-03","","","","","","","","","","","","","","4.22343E+16","a1TVx00000F44a0MAB"
"a1TWD000001ox8X2AQ","005al00000RVcKvAAL","false","Paris","2","","","","","","","","","","","","","","4.21874E+16","a1TVx00000F44a1MAB"
"a1TWD000001ox8Y2AQ","005al00000RVcKvAAL","false","Marseille","3","","","","","","","","","","","","","","4.22324E+16","a1TVx00000F44a2MAB"
"a1TWD000001ox8Z2AQ","005al00000RVcKvAAL","false","Toulouse","4","","","","","","","","","","","","","","4.21137E+16","a1TVx00000F44a3MAB"
"a1TWD000001ox8a2AA","005al00000RVcKvAAL","false","Lyon","1","","","","","","","","","","","","","","4.27724E+16","a1TVx00000F44a4MAB"
"a1TWD000001ox8b2AA","005al00000RVcKvAAL","false","Madrid","","","","","","","","","","","","","","","4.20603E+16","a1TVx00000F44a5MAB"
"a1TWD000001ox8c2AA","005al00000RVcKvAAL","false","Barcelona","","","","","","","","","","","","","","","4.28992E+16","a1TVx00000F44a6MAB"
"a1TWD000001ox8d2AA","005al00000RVcKvAAL","false","Valencia","","","","","","","","","","","","","","","4.29508E+16","a1TVx00000F44a7MAB"
"a1TWD000001ox8e2AA","005al00000RVcKvAAL","false","Seville","","","","","","","","","","","","","","","4.23041E+16","a1TVx00000F44a8MAB"
"a1TWD000001ox8f2AA","005al00000RVcKvAAL","false","Rome","","","","","","","","","","","","","","","4.24757E+16","a1TVx00000F44a9MAB"
"a1TWD000001ox8g2AA","005al00000RVcKvAAL","false","Milan","","","","","","","","","","","","","","","4.21937E+16","a1TVx00000F44aAMAR"
"a1TWD000001ox8h2AA","005al00000RVcKvAAL","false","Naples","","","","","","","","","","","","","","","4.20415E+16","a1TVx00000F44aBMAR"
"a1TWD000001ox8i2AA","005al00000RVcKvAAL","false","Turin","","","","","","","","","","","","","","","4.26967E+16","a1TVx00000F44aCMAR"
"a1TWD000001ox8j2AA","005al00000RVcKvAAL","false","Berlin","","","","","","","","","","","","","","","4.2161E+16","a1TVx00000F44aDMAR"
"a1TWD000001ox8k2AA","005al00000RVcKvAAL","false","Hamburg","","","","","","","","","","","","","","","4.2758E+16","a1TVx00000F44aEMAR"
"a1TWD000001ox8l2AA","005al00000RVcKvAAL","false","Munich","","","","","","","","","","","","","","","4.22874E+16","a1TVx00000F44aFMAR"
"a1TWD000001ox8m2AA","005al00000RVcKvAAL","false","Cologne","","","","","","","","","","","","","","","4.27377E+16","a1TVx00000F44aGMAR"
"a1TWD000001ox8n2AA","005al00000RVcKvAAL","false","QA - Branch 002","52","","","","","","","","","","","","","","4.28008E+16","a1TVx00000F44aHMAR"
"a1TWD000001ox8o2AA","005al00000RVcKvAAL","false","QA - Branch 003","53","","","","","","","","","","","","","","4.24835E+16","a1TVx00000F44aIMAR"
"a1TWD000001ox8p2AA","005al00000RVcKvAAL","false","QA - Branch 004","54","","","","","","","","","","","","","","4.25764E+16","a1TVx00000F44aJMAR"
"a1TWD000001ox8q2AA","005al00000RVcKvAAL","false","Shiva","","","","","","","","","","","","","","","42361086499466592","a1TVx00000F44aKMAR"
"a1TWD000001ox8r2AA","005al00000RVcKvAAL","false","AR-Branch-Test","","","","","","","","","","","","","","","42333043214236547","a1TVx00000F44aLMAR"
"a1TWD000001ox8s2AA","005al00000RVcKvAAL","false","Wilmington","","","","","","","","","","","","","","","42008723670610623","a1TVx00000F44aMMAR"
"a1TWD000001ox8t2AA","005al00000RVcKvAAL","false","London City","00-00-00","","","","","","","","","","","","","","42683844897478206","a1TVx00000F44aNMAR"
"a1TWD000001ox8u2AA","005al00000RVcKvAAL","false","Manchester","00-00-01","","","","","","","","","","","","","","42462934753303422","a1TVx00000F44aOMAR"
"a1TWD000001ox8v2AA","005al00000RVcKvAAL","false","Bristol","00-00-02","","","","","","","","","","","","","","42350301403076650","a1TVx00000F44aPMAR"
"a1TWD000001ox8w2AA","005al00000RVcKvAAL","false","Liverpool","00-00-03","","","","","","","","","","","","","","42179091323594253","a1TVx00000F44aQMAR"
"a1TWD000001ox8x2AA","005al00000RVcKvAAL","false","Paris","2","","","","","","","","","","","","","","42755239377688318","a1TVx00000F44aRMAR"
"a1TWD000001ox8y2AA","005al00000RVcKvAAL","false","Marseille","3","","","","","","","","","","","","","","42204662098425817","a1TVx00000F44aSMAR"
