"Id","IsDeleted","Name","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c"
"a1UWD000001ivws2AA","false","CLA-BD-0001043","a1WWD000002AZOH2A4","","Hard cost","Landscaping","","250.0","","","","","02eswj73js99umg1vc","0.0","","0.0","0.0"
"a1UWD000001ivwt2AA","false","CLA-BD-0001044","a1WWD000002AZOJ2A4","","Hard cost","Gutters and Downspouts","","140.0","","","","","077la94tgch2xw1r50","0.0","","","0.0"
"a1UWD000001ivwu2AA","false","CLA-BD-0001045","a1WWD000002AZOK2A4","1200.0","Soft cost","Permits / Fees","","10.0","","","","","07iktk76gpjzem8txw","0.0","100.0","","1200.0"
"a1UWD000001ivwv2AA","false","CLA-BD-0001046","a1WWD000002AZOE2A4","","Hard cost","Shingles","","211.0","","","","","0ac6h743h6ur16ecqu","0.0","","","0.0"
"a1UWD000001ivww2AA","false","CLA-BD-0001047","a1WWD000002AZOD2A4","","","Stairs","","110.0","","","","","0cb3l7aexh2jummpbu","0.0","","0.0","0.0"
"a1UWD000001ivwx2AA","false","CLA-BD-0001048","a1WWD000002AZOJ2A4","850.0","Soft cost","Surveys","","11.0","","","","","0dspxzlayab0a1vv0r","0.0","100.0","","850.0"
"a1UWD000001ivwy2AA","false","CLA-BD-0001049","a1WWD000002AZOH2A4","","Soft cost","Bonds & Insurance","","6.0","","","","","0k1rh0jhewymbgej1e","0.0","","0.0","0.0"
"a1UWD000001ivwz2AA","false","CLA-BD-0001050","a1WWD000002AZNf2AO","","","Water Pump","","80.0","","","","","0kifxe0sc23zfovsyq","0.0","","","0.0"
"a1UWD000001ivx02AA","false","CLA-BD-0001051","a1WWD000002AZOD2A4","","","Steel","","50.0","","","","","0m3h6jm084u88tpgvr","0.0","","0.0","0.0"
"a1UWD000001ivx12AA","false","CLA-BD-0001052","a1WWD000002AZOI2A4","5000.0","Soft cost","Commission & Fees","","510.0","","","","","0pwhz9wi5tosx4s61j","0.0","100.0","","5000.0"
"a1UWD000001ivx22AA","false","CLA-BD-0001053","a1WWD000002AZNe2AO","900.0","","Impact Fees","","20.0","","","","","0qwxgpyr1699ph3zky","0.0","100.0","0.06","900.0"
"a1UWD000001ivx32AA","false","CLA-BD-0001054","a1WWD000002AZOC2A4","67500.0","","Painting","","210.0","","","","","0su63lv8ep8egz51ff","0.0","100.0","4.5","67500.0"
"a1UWD000001ivx42AA","false","CLA-BD-0001055","a1WWD000002AZOH2A4","","Hard cost","Painting","","210.0","","","","","0t16qe1fc0w5o970jq","0.0","","0.0","0.0"
"a1UWD000001ivx52AA","false","CLA-BD-0001056","a1WWD000002AZOD2A4","","","Siding","","130.0","","","","","0x0a1d4jew8g8dqjql","0.0","","0.0","0.0"
"a1UWD000001ivx62AA","false","CLA-BD-0001057","a1WWD000002AZNe2AO","8000.0","","Electrical","","160.0","","","","","118wh8tgz0p8h8zy7h","0.0","100.0","0.5333","8000.0"
"a1UWD000001ivx72AA","false","CLA-BD-0001058","a1WWD000002AZOC2A4","850.0","","Surveys","","11.0","","","","","12st9rzg9cc3yptx5i","0.0","100.0","0.0567","850.0"
"a1UWD000001ivx82AA","false","CLA-BD-0001059","a1WWD000002AZNd2AO","50000.0","Hard cost","Plumbing","","150.0","","","","0.0","13njzml60u9p8l3783","0.0","100.0","3.3333","50000.0"
"a1UWD000001ivx92AA","false","CLA-BD-0001060","a1WWD000002AZOE2A4","550.0","Soft cost","Surveys","","501.0","","","","","1516aiydques6zylkp","0.0","100.0","","550.0"
"a1UWD000001ivxA2AQ","false","CLA-BD-0001061","a1WWD000002AZOI2A4","","Hard cost","Doors","","212.0","","","","","1e883ba1xdyxe9ugyd","0.0","","","0.0"
"a1UWD000001ivxB2AQ","false","CLA-BD-0001062","a1WWD000002AZNe2AO","800.0","","Water & Sewer Inspection","","30.0","","","","","1fh74hg0mkihq7o9q2","0.0","100.0","0.0533","800.0"
"a1UWD000001ivxC2AQ","false","CLA-BD-0001063","a1WWD000002AZOJ2A4","","Hard cost","HVAC","","180.0","","","","","1mblcygaxd64ioxdjx","0.0","","","0.0"
