"Id","OwnerId","IsDeleted","Name","LLC_BI__Allow_Record_Filtering__c","LLC_BI__Balance_Total__c","LLC_BI__Borrower_Type__c","LLC_BI__Bundle__c","LLC_BI__Description__c","LLC_BI__End_Date_Quarter__c","LLC_BI__End_Date__c","LLC_BI__Entity_Type__c","LLC_BI__Group_Columns__c","LLC_BI__Interaction__c","LLC_BI__Is_Balance_Sheet__c","LLC_BI__Is_Budget__c","LLC_BI__Is_Cash_Flow_Statement__c","LLC_BI__Is_Income_Statement__c","LLC_BI__Is_Personal_Financial_Statement__c","LLC_BI__Is_Ratios__c","LLC_BI__Is_Template__c","LLC_BI__Is_Traditional_Cash_Flow__c","LLC_BI__Is_UCA_Cash_Flow__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__Start_Date_Quarter__c","LLC_BI__Start_Date__c","LLC_BI__Static_Periods__c","LLC_BI__Total_Hide_Currency_Symbol__c","LLC_BI__Total_Row_Name__c","LLC_BI__Type__c","LLC_BI__lookupKey__c","LLC_BI__Is_Global_Analysis__c","LLC_BI__Calc_Common_Sizing_Record__c","LLC_BI__Calc_Common_Sizing_Total_Group__c","LLC_BI__Sort_Order__c","LLC_BI__Display_Common_Sizing__c","LLC_BI__Supports_Common_Sizing__c","LLC_BI__Display_Trend__c","LLC_BI__Supports_Trend__c","LLC_BI__Display_Projection_Drivers__c","LLC_BI__Source_Statement__c","LLC_BI__Is_Multi_Currency__c"
"a19bn000001uMV5AAM","005bn000003k2JdAAI","","000003987","true","false","","a1Gbn00002PhBaYEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Ratios","42137658417223178","","","","900.0","false","","false","","false","","false"
"a19bn000001uMUTAA2","005bn000003k2JdAAI","","000003949","true","false","","a1Gbn00002PhBaREAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Accrual Income Statement","42139534116194634","","","a16bn00000108IRAAY","600.0","false","","false","","false","","false"
"a19bn000001uMdSAAU","005bn000003k2JdAAI","","000003926","true","false","","a1Gbn00002PhBaLEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Summary Direct CF","42148986073066108","","","","400.0","false","","false","","false","","false"
"a19bn000001uMUxAAM","005bn000003k2JdAAI","","000003978","true","false","","a1Gbn00002PhBaWEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","true","","Ratios","42162326001877329","","","","500.0","false","","false","","false","","false"
"a19bn000001uMdOAAU","005bn000003k2JdAAI","","000003922","true","false","","a1Gbn00002PhBaKEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Income Statement","42162784209158118","","","a16bn00000108cqAAA","200.0","false","","false","","false","","false"
"a19bn000001uMUcAAM","005bn000003k2JdAAI","","000003955","true","false","","a1Gbn00002PhBaSEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Ratios","42203577126729957","","","","","false","","false","","false","","false"
"a19bn000001uMUhAAM","005bn000003k2JdAAI","","000003960","true","false","","a1Gbn00002PhBaTEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Summary Direct CF","42265591039683888","","","","800.0","false","","false","","false","","false"
"a19bn000001uMUSAA2","005bn000003k2JdAAI","","000003948","true","false","","a1Gbn00002PhBaREAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Cash Income Statement","42278976889260369","","","a16bn00000108IGAAY","500.0","false","","false","","false","","false"
"a19bn000001uMV0AAM","005bn000003k2JdAAI","","000003982","true","false","","a1Gbn00002PhBaWEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Income Statement","42280329183155675","","","a16bn00000108ZtAAI","200.0","false","","false","","false","","false"
"a19bn000001uMUaAAM","005bn000003k2JdAAI","","000003953","true","false","","a1Gbn00002PhBaSEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Personal Financial Statement","42289960294422445","","","a16bn00000108UsAAI","","false","","false","","false","","false"
"a19bn000001uMdkAAE","005bn000003k2JdAAI","","000003941","true","false","","a1Gbn00002PhBaNEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","true","false","","Rent Roll","4229650178365333","","","","2.0","false","","false","","false","","false"
"a19bn000001uMUtAAM","005bn000003k2JdAAI","","000003975","true","false","","a1Gbn00002PhBaVEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Summary Direct CF","42301907821848757","","","","500.0","false","","false","","false","","false"
"a19bn000001uMdTAAU","005bn000003k2JdAAI","","000003927","true","false","","a1Gbn00002PhBaLEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","true","","Ratios","42328570631370527","","","","500.0","false","","false","","false","","false"
"a19bn000001uMdVAAU","005bn000003k2JdAAI","","000003929","true","false","","a1Gbn00002PhBaLEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Traditional Cash Flow","42362951622350445","","","","300.0","false","","false","","false","","false"
"a19bn000001uMUgAAM","005bn000003k2JdAAI","","000003959","true","false","","a1Gbn00002PhBaTEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Traditional Cash Flow","42367618931597574","","","","700.0","false","","false","","false","","false"
"a19bn000001uMUmAAM","005bn000003k2JdAAI","","000003965","true","false","","a1Gbn00002PhBaUEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Personal Financial Statement","42370525995962617","","","","100.0","false","","false","","false","","false"
"a19bn000001uMdXAAU","005bn000003k2JdAAI","","000003931","true","false","","a1Gbn00002PhBaLEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Income Statement","42378202816688880","","","a16bn00000108ePAAQ","200.0","true","","false","","false","","false"
"a19bn000001uMURAA2","005bn000003k2JdAAI","","000003947","true","false","","a1Gbn00002PhBaREAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Balance Sheet","42401502459199549","","","a16bn00000108I4AAI","200.0","false","","false","","false","","false"
"a19bn000001uMUjAAM","005bn000003k2JdAAI","","000003963","true","false","","a1Gbn00002PhBaTEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Schedule K","42416359582325911","","","","200.0","false","","false","","false","","false"
"a19bn000001uMdfAAE","005bn000003k2JdAAI","","000003939","true","false","","a1Gbn00002PhBaMEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Balance Sheet","42420661304442530","","","a16bn00000108fvAAA","100.0","false","","false","","false","","false"
"a19bn000001uMdaAAE","005bn000003k2JdAAI","","000003934","true","false","","a1Gbn00002PhBaMEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","true","","Ratios","42430568448475753","","","","500.0","false","","false","","false","","false"
"a19bn000001uMV1AAM","005bn000003k2JdAAI","","000003983","true","false","","a1Gbn00002PhBaWEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Balance Sheet","42447909351347496","","","a16bn00000108aIAAQ","100.0","false","","false","","false","","false"
"a19bn000001uMdlAAE","005bn000003k2JdAAI","","000003943","true","false","","a1Gbn00002PhBaOEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","true","false","","Rent Roll","42457255818796755","","","","2.0","false","","false","","false","","false"
"a19bn000001uMdPAAU","005bn000003k2JdAAI","","000003923","true","false","","a1Gbn00002PhBaKEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Traditional Cash Flow","42464195411155169","","","","400.0","false","","false","","false","","false"
"a19bn000001uMdEAAU","005bn000003k2JdAAI","","000003993","true","false","","a1Gbn00002PhBaYEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Book Income Statement","42469600463719925","","","","500.0","false","","false","","false","","false"
"a19bn000001uMUyAAM","005bn000003k2JdAAI","","000003979","true","false","","a1Gbn00002PhBaWEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Reconciliation","42475544347216780","","","","250.0","false","","false","","false","","false"
"a19bn000001uMV6AAM","005bn000003k2JdAAI","","000003988","true","false","","a1Gbn00002PhBaYEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Income Statement","42491873646198511","","","a16bn00000108b5AAA","100.0","false","","false","","false","","false"
"a19bn000001uMdnAAE","005bn000003k2JdAAI","","000003985","true","false","","a1Gbn00002PhBaXEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Rent Roll","42499207925720293","","","","200.0","false","","false","","false","","false"
"a19bn000001uMUoAAM","005bn000003k2JdAAI","","000003967","true","false","","a1Gbn00002PhBaUEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Schedule C","42515207760990156","","","","300.0","false","","false","","false","","false"
"a19bn000001uMdJAAU","005bn000003k2JdAAI","","000003917","true","false","","a1Gbn00002PhBaJEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Schedule E","42537822157366058","","","","400.0","false","","false","","false","","false"
"a19bn000001uMV2AAM","005bn000003k2JdAAI","","000003984","true","false","","a1Gbn00002PhBaXEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","NOI Statement","42559843907603758","","","","100.0","false","","false","","false","","false"
"a19bn000001uMdHAAU","005bn000003k2JdAAI","","000003915","true","false","","a1Gbn00002PhBaJEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Traditional Cash Flow","42565892204185460","","","","200.0","false","","false","","false","","false"
"a19bn000001uMdIAAU","005bn000003k2JdAAI","","000003916","true","false","","a1Gbn00002PhBaJEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Schedule C","42567909799112129","","","","300.0","false","","false","","false","","false"
"a19bn000001uMdMAAU","005bn000003k2JdAAI","","000003920","true","false","","a1Gbn00002PhBaKEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Balance Sheet","42575175729298504","","","a16bn00000108cbAAA","100.0","false","","false","","false","","false"
"a19bn000001uMUVAA2","005bn000003k2JdAAI","","000003972","true","false","","a1Gbn00002PhBaVEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Ratios","42580367609228569","","","","600.0","false","","false","","false","","false"
"a19bn000001uMddAAE","005bn000003k2JdAAI","","000003937","true","false","","a1Gbn00002PhBaMEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Summary Indirect CF","42582995634370283","","","","350.0","false","","false","","false","","false"
"a19bn000001uMV3AAM","005bn000003k2JdAAI","","000003986","true","false","","a1Gbn00002PhBaYEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Balance Sheet","42585570063438102","","","a16bn00000108alAAA","300.0","false","","false","","false","","false"
"a19bn000001uMUkAAM","005bn000003k2JdAAI","","000003964","true","false","","a1Gbn00002PhBaTEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Book Income Statement","42638348996935149","","","","500.0","false","","false","","false","","false"
"a19bn000001uMdCAAU","005bn000003k2JdAAI","","000003991","true","false","","a1Gbn00002PhBaYEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Reconciliation","42645653897254740","","","","400.0","false","","false","","false","","false"
"a19bn000001uMdZAAU","005bn000003k2JdAAI","","000003933","true","false","","a1Gbn00002PhBaMEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Summary Direct CF","42679411006265561","","","","400.0","false","","false","","false","","false"
"a19bn000001uMUdAAM","005bn000003k2JdAAI","","000003956","true","false","","a1Gbn00002PhBaTEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Balance Sheet","42694007954566332","","","a16bn00000108V9AAI","300.0","false","","false","","false","","false"
"a19bn000001uMdRAAU","005bn000003k2JdAAI","","000003925","true","false","","a1Gbn00002PhBaKEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Reconciliation","42721010119485140","","","","300.0","false","","false","","false","","false"
"a19bn000001uMdcAAE","005bn000003k2JdAAI","","000003936","true","false","","a1Gbn00002PhBaMEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Traditional Cash Flow","42728158060726523","","","","300.0","false","","false","","false","","false"
"a19bn000001uMUnAAM","005bn000003k2JdAAI","","000003966","true","false","","a1Gbn00002PhBaUEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Personal Cash Flow","42737219975260112","","","","200.0","false","","false","","false","","false"
"a19bn000001uMdDAAU","005bn000003k2JdAAI","","000003992","true","false","","a1Gbn00002PhBaYEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Schedule K","42759458857026550","","","","200.0","false","","false","","false","","false"
"a19bn000001uMdhAAE","005bn000003k2JdAAI","","000003942","true","false","","a1Gbn00002PhBaOEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","true","false","","NOI Statement","42773410010915110","","","","1.0","false","","false","","false","","false"
"a19bn000001uMdYAAU","005bn000003k2JdAAI","","000003932","true","false","","a1Gbn00002PhBaLEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Balance Sheet","42781954768389993","","","a16bn00000108ecAAA","100.0","true","","false","","false","","false"
"a19bn000001uMUlAAM","005bn000003k2JdAAI","","000003961","true","false","","a1Gbn00002PhBaTEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","8825","42782192864686086","","","","600.0","false","","false","","false","","false"
"a19bn000001uMUiAAM","005bn000003k2JdAAI","","000003962","true","false","","a1Gbn00002PhBaTEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Reconciliation","42791344555254910","","","","400.0","false","","false","","false","","false"
"a19bn000001uMdjAAE","005bn000003k2JdAAI","","000003946","true","false","","a1Gbn00002PhBaQEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","true","false","","NOI Statement","42805201395841711","","","","1.0","false","","false","","false","","false"
"a19bn000001uMUuAAM","005bn000003k2JdAAI","","000003976","true","false","","a1Gbn00002PhBaVEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Reconciliation","42822927953357372","","","","300.0","false","","false","","false","","false"
"a19bn000001uMV4AAM","005bn000003k2JdAAI","","000003989","true","false","","a1Gbn00002PhBaYEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Traditional Cash Flow","42824785543041391","","","","700.0","false","","false","","false","","false"
"a19bn000001uMdWAAU","005bn000003k2JdAAI","","000003930","true","false","","a1Gbn00002PhBaLEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Summary Indirect CF","42829433167636053","","","","350.0","false","","false","","false","","false"
"a19bn000001uMdmAAE","005bn000003k2JdAAI","","000003945","true","false","","a1Gbn00002PhBaPEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","true","false","","Rent Roll","42830306504740781","","","","2.0","false","","false","","false","","false"
"a19bn000001uMdbAAE","005bn000003k2JdAAI","","000003935","true","false","","a1Gbn00002PhBaMEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Reconciliation","42836102411979083","","","","250.0","false","","false","","false","","false"
"a19bn000001uMdQAAU","005bn000003k2JdAAI","","000003924","true","false","","a1Gbn00002PhBaKEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Summary Direct CF","42847743321211061","","","","500.0","false","","false","","false","","false"
"a19bn000001uMUsAAM","005bn000003k2JdAAI","","000003974","true","false","","a1Gbn00002PhBaVEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Traditional Cash Flow","42873843739014681","","","","400.0","false","","false","","false","","false"
"a19bn000001uMdGAAU","005bn000003k2JdAAI","","000003914","true","false","","a1Gbn00002PhBaJEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Personal Financial Statement","42874763403944311","","","","100.0","false","","false","","false","","false"
"a19bn000001uMdiAAE","005bn000003k2JdAAI","","000003944","true","false","","a1Gbn00002PhBaPEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","true","false","","NOI Statement","42878974329464442","","","","1.0","false","","false","","false","","false"
"a19bn000001uMUbAAM","005bn000003k2JdAAI","","000003954","true","false","","a1Gbn00002PhBaSEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Personal Cash Flow","42894921916095075","","","","","false","","false","","false","","false"
"a19bn000001uMdNAAU","005bn000003k2JdAAI","","000003921","true","false","","a1Gbn00002PhBaKEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Ratios","42899806087187980","","","","600.0","false","","false","","false","","false"
"a19bn000001uMUwAAM","005bn000003k2JdAAI","","000003977","true","false","","a1Gbn00002PhBaWEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Summary Direct CF","42900184307078439","","","","400.0","false","","false","","false","","false"
"a19bn000001uMUqAAM","005bn000003k2JdAAI","","000003969","true","false","","a1Gbn00002PhBaUEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Schedule F","42901706296498575","","","","500.0","false","","false","","false","","false"
"a19bn000001uMdUAAU","005bn000003k2JdAAI","","000003928","true","false","","a1Gbn00002PhBaLEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Reconciliation","42926432012898837","","","","250.0","false","","false","","false","","false"
"a19bn000001uMdKAAU","005bn000003k2JdAAI","","000003918","true","false","","a1Gbn00002PhBaJEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Schedule F","42930451079429346","","","","500.0","false","","false","","false","","false"
"a19bn000001uMUXAA2","005bn000003k2JdAAI","","000003950","true","false","","a1Gbn00002PhBaREAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Net Worth Recon","42931182299269870","","","","300.0","false","","false","","false","","false"
"a19bn000001uMUWAA2","005bn000003k2JdAAI","","000003973","true","false","","a1Gbn00002PhBaVEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Income Statement","42956836601345755","","","a16bn00000108IzAAI","200.0","false","","false","","false","","false"
"a19bn000001uMUZAA2","005bn000003k2JdAAI","","000003952","true","false","","a1Gbn00002PhBaREAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Traditional Cash Flow","42965468873251975","","","","650.0","false","","false","","false","","false"
"a19bn000001uMUzAAM","005bn000003k2JdAAI","","000003981","true","false","","a1Gbn00002PhBaWEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Summary Indirect CF","42967354268725717","","","","350.0","false","","false","","false","","false"
"a19bn000001uMdgAAE","005bn000003k2JdAAI","","000003940","true","false","","a1Gbn00002PhBaNEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","true","false","","NOI Statement","42983211510572859","","","","1.0","false","","false","","false","","false"
"a19bn000001uMdeAAE","005bn000003k2JdAAI","","000003938","true","false","","a1Gbn00002PhBaMEAV","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","false","false","","Income Statement","42985906647709044","","","a16bn00000108faAAA","200.0","false","","false","","false","","false"
