"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__EmailTemplate__c","LLC_BI__Email_Template_Purpose__c","LLC_BI__Institution__c","LLC_BI__lookupKey__c"
"a2gWD0000078NGZYA2","005al00000RVcKvAAL","false","ETI-000000038","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X5f000001A2BcEAK","","a31WD000002808IYAQ","ETINST_001"
"a2gWD0000078NGaYAM","005al00000RVcKvAAL","false","ETI-000000039","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X5f000001A3DfEAK","","a31WD000002808JYAQ","ETINST_002"
"a2gWD0000078NGbYAM","005al00000RVcKvAAL","false","ETI-000000040","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X5f000001A4GhEAK","","a31WD000002808GYAQ","ETINST_003"
"a2gWD0000078NGcYAM","005al00000RVcKvAAL","false","ETI-000000041","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X5f000001A5JkEAK","","a31WD000002808HYAQ","ETINST_004"
"a2gWD0000078NGdYAM","005al00000RVcKvAAL","false","ETI-000000042","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X5f000001A6MnEAK","","a31WD000002808FYAQ","ETINST_005"
"a2gWD0000078NGeYAM","005al00000RVcKvAAL","false","ETI-000000043","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","Payment Reminder","","a31WD000002808EYAQ","ETI_0002"
"a2gWD0000078NGfYAM","005al00000RVcKvAAL","false","ETI-000000044","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","Document Request","","a31WD000002808CYAQ","ETI_0004"
"a2gWD0000078NGgYAM","005al00000RVcKvAAL","false","ETI-000000045","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X5f000001A2B3C","","a31WD000002808IYAQ","ETI_001"
"a2gWD0000078NGhYAM","005al00000RVcKvAAL","false","ETI-000000046","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","Payment Reminder","","a31WD000002808EYAQ","ETI_002"
"a2gWD0000078NGiYAM","005al00000RVcKvAAL","false","ETI-000000047","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X5f000001G7H8I","","a31WD000002808GYAQ","ETI_003"
"a2gWD0000078NGjYAM","005al00000RVcKvAAL","false","ETI-000000048","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X5f000001J9K0L","","a31WD000002808HYAQ","ETI_004"
"a2gWD0000078NGkYAM","005al00000RVcKvAAL","false","ETI-000000049","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X5f000001M1N2O","","a31WD000002808FYAQ","ETI_005"
"a2gWD000006rVbuYAE","005al00000RVcKvAAL","false","ETI-000000023","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000QlqH","Account Document Assigned - Bulk","a31WD0000028089YAA","a4o3g000000k9wvAAA"
"a2gWD000006rVbhYAE","005al00000RVcKvAAL","false","ETI-000000010","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000QlqIEAS","Account Document Rejected-arun","a31WD0000028089YAA","a4o3g000000k9wwAAA"
"a2gWD000006rVbiYAE","005al00000RVcKvAAL","false","ETI-000000011","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000QlqJ","Borrower Added (Existing)","a31WD0000028089YAA","a4o3g000000k9wxAAA"
"a2gWD000006rVbjYAE","005al00000RVcKvAAL","false","ETI-000000012","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000QlqK","Borrower Added (New)","a31WD0000028089YAA","a4o3g000000k9wyAAA"
"a2gWD000006rVboYAE","005al00000RVcKvAAL","false","ETI-000000017","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000QlqL","Co-Owner Added (Existing)","a31WD0000028089YAA","a4o3g000000k9wzAAA"
"a2gWD000006rVbkYAE","005al00000RVcKvAAL","false","ETI-000000013","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000QlqM","Co-Owner Added (New)","a31WD0000028089YAA","a4o3g000000k9x0AAA"
"a2gWD000006rVblYAE","005al00000RVcKvAAL","false","ETI-000000014","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000QlqO","Deposit Documents Assigned","a31WD0000028089YAA","a4o3g000000k9x1AAA"
"a2gWD000006rVbmYAE","005al00000RVcKvAAL","false","ETI-000000015","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000QlqN","Deposit Document Rejected","a31WD0000028089YAA","a4o3g000000k9x2AAA"
"a2gWD000006rVbnYAE","005al00000RVcKvAAL","false","ETI-000000016","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000Qlq3","Guarantor Added (Existing)","a31WD0000028089YAA","a4o3g000000k9x3AAA"
"a2gWD000006rVbpYAE","005al00000RVcKvAAL","false","ETI-000000018","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000Qlq4","Guarantor Added (New)","a31WD0000028089YAA","a4o3g000000k9x4AAA"
"a2gWD000006rVbqYAE","005al00000RVcKvAAL","false","ETI-000000019","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000Qlq6","Loan Document Assigned Email - Bulk","a31WD0000028089YAA","a4o3g000000k9x5AAA"
"a2gWD000006rVbrYAE","005al00000RVcKvAAL","false","ETI-000000020","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000QlqP","Loan Document Rejected Email","a31WD0000028089YAA","a4o3g000000k9x6AAA"
"a2gWD000006rVbsYAE","005al00000RVcKvAAL","false","ETI-000000021","2026-06-24T12:33:49.000Z","005al00000RVcKvAAL","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000QlqD","Save and Continue","a31WD0000028089YAA","a4o3g000000k9x7AAA"
"a2gWD0000078NGLYA2","005al00000RVcKvAAL","false","ETI-000000024","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000QlqH","Account Document Assigned - Bulk","a31WD000002GffZYAS","a4o3g000000k9x8AAA"
"a2gWD0000078NGMYA2","005al00000RVcKvAAL","false","ETI-000000025","2026-08-11T09:44:27.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","005al00000RVvFOAA1","2026-09-03T07:42:40.000Z","00X3g000000QlqIEAS","Account Document Rejected","a31WD000002GffZYAS","a4o3g000000k9x9AAA"
