"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Data__c","nFORCE__Icon__c","nFORCE__Parameters__c","nFORCE__Script_Resource_Eight__c","nFORCE__Script_Resource_Eleven__c","nFORCE__Script_Resource_Fifteen__c","nFORCE__Script_Resource_Five__c","nFORCE__Script_Resource_Four__c","nFORCE__Script_Resource_Fourteen__c","nFORCE__Script_Resource_Nine__c","nFORCE__Script_Resource_One__c","nFORCE__Script_Resource_Seven__c","nFORCE__Script_Resource_Six__c","nFORCE__Script_Resource_Ten__c","nFORCE__Script_Resource_Thirteen__c","nFORCE__Script_Resource_Three__c","nFORCE__Script_Resource_Twelve__c","nFORCE__Script_Resource_Two__c","nFORCE__Stylesheet_Resource_Eight__c","nFORCE__Stylesheet_Resource_Five__c","nFORCE__Stylesheet_Resource_Four__c","nFORCE__Stylesheet_Resource_Nine__c","nFORCE__Stylesheet_Resource_One__c","nFORCE__Stylesheet_Resource_Seven__c","nFORCE__Stylesheet_Resource_Six__c","nFORCE__Stylesheet_Resource_Ten__c","nFORCE__Stylesheet_Resource_Three__c","nFORCE__Stylesheet_Resource_Two__c","nFORCE__Type__c","nFORCE__View__c","nFORCE__lookupKey__c","nFORCE__Is_Angular__c","nFORCE__Is_Knockout__c","nFORCE__Is_Narrative__c"
"a17WE00006vyBJ9YAM","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","055120a2-f548-5ae8","false","true","true"
"a17WE00006vyBJAYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","maxSize: 12000000;","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","0d8ee231-f7eb-2419","false","true","true"
"a17WE00006vyBJBYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","maxSize: 12000000;","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","2d986ad8-4e75-426a","false","true","true"
"a17WE00006vyBJCYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","2db97083-5979-52f0","false","true","true"
"a17WE00006vyBJDYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","3139d331-df5e-1f23","false","true","true"
"a17WE00006vyBJEYA2","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","maxSize: 12000000;","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","36c52d4b-5403-7f48","false","true","true"
"a17WE00006w0TC1YAM","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","37391c6e-97cb-dd93","false","true","true"
"a17WE00006w0TC2YAM","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42002843884588777","false","true","true"
"a17WE00006w0TC3YAM","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42003401524821863","false","true","true"
"a17WE00006w0TC4YAM","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42006209519826352","false","true","true"
"a17WE00006w0TC5YAM","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42006302856308995","false","true","true"
"a17WE00006w0TC6YAM","005al00000RVcKvAAL","false","LifeCycle.Rate_Structure_Summary","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","debug:true;group:loan;route:rate-structure","","","","","","","","LLC_BI__rate_structure_summary_app","","","","","nFORCE__screen_models","","LLC_BI__rate_structure_summary_viewModel","","","","","LLC_BI__payment_calculator_css","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;rate_structure_summary&#39;}&quot;&gt;&lt;/div&gt;","42009393807440554","false","true","false"
"a17WE00006w0TC7YAM","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","maxSize: 12000000;","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42009885911446979","false","true","true"
"a17WE00006w0TC8YAM","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42010074491777426","false","true","true"
"a17WE00006w0TC9YAM","005al00000RVcKvAAL","false","LifeCycle.KO_Narrative","2026-07-16T08:56:22.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","005al00000RVcKvAAL","2026-08-24T08:33:09.000Z","","","","","","","","","","","nFORCE__ko_narrative_app","","","","","nFORCE__ko_narrative_viewModel","","nFORCE__screen_models","","","","","","","","","","","Knockout","&lt;div data-bind=&quot;template: { name: &#39;narrative-template&#39; }&quot;&gt;&lt;/div&gt;","42011625628312984","false","true","true"
