"Id","OwnerId","IsDeleted","Name","LLC_BI__Allow_Record_Filtering__c","LLC_BI__Balance_Total__c","LLC_BI__Borrower_Type__c","LLC_BI__Bundle__c","LLC_BI__Calc_Common_Sizing_Record__c","LLC_BI__Calc_Common_Sizing_Total_Group__c","LLC_BI__Description__c","LLC_BI__Display_Common_Sizing__c","LLC_BI__Display_Projection_Drivers__c","LLC_BI__Display_Trend__c","LLC_BI__End_Date__c","LLC_BI__Entity_Type__c","LLC_BI__Group_Columns__c","LLC_BI__Interaction__c","LLC_BI__Is_Cash_Flow_Statement__c","LLC_BI__Is_Multi_Currency__c","LLC_BI__Is_Template__c","LLC_BI__Sort_Order__c","LLC_BI__Source_Statement__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__Start_Date__c","LLC_BI__Static_Periods__c","LLC_BI__Total_Hide_Currency_Symbol__c","LLC_BI__Total_Row_Name__c","LLC_BI__Type__c","LLC_BI__lookupKey__c","LLC_BI__End_Date_Quarter__c","LLC_BI__Is_Balance_Sheet__c","LLC_BI__Is_Budget__c","LLC_BI__Is_Global_Analysis__c","LLC_BI__Is_Income_Statement__c","LLC_BI__Is_Personal_Financial_Statement__c","LLC_BI__Is_Ratios__c","LLC_BI__Is_Traditional_Cash_Flow__c","LLC_BI__Is_UCA_Cash_Flow__c","LLC_BI__Start_Date_Quarter__c","LLC_BI__Supports_Common_Sizing__c","LLC_BI__Supports_Trend__c"
"a55WE000025VlyVYAS","005al00000RVvFOAA1","false","000000551","true","false","","a5VWE0000048GDR2A2","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","600.0","","","","false","false","","Ratios","42018667942209761","4.0","0.0","0.0","false","0.0","0.0","1.0","0.0","0.0","4.0","false","false"
"a55WE000025VlyWYAS","005al00000RVvFOAA1","false","000000552","true","false","","a5VWE0000048GDT2A2","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","700.0","","","","false","false","","Ratios","42019498493479344","4.0","0.0","0.0","false","0.0","0.0","1.0","0.0","0.0","4.0","false","false"
"a55WE00001vjC1YYAU","005al00000RVvFOAA1","false","000000387","true","false","","a5VWE000003uJeS2AU","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","600.0","","","","false","false","","Ratios","42031914997206446","4.0","0.0","0.0","false","0.0","0.0","1.0","0.0","0.0","4.0","false","false"
"a55WE000025VlyXYAS","005al00000RVvFOAA1","false","000000553","true","false","","a5VWE0000048GDQ2A2","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","600.0","","","","false","false","","8825","42050878360955889","4.0","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","4.0","false","false"
"a55WE000025VlyYYAS","005al00000RVvFOAA1","false","000000554","true","false","","a5VWE0000048GDN2A2","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","900.0","","","","false","false","","Ratios","42069696641989829","4.0","0.0","0.0","false","0.0","0.0","1.0","0.0","0.0","4.0","false","false"
"a55WE000025VlyZYAS","005al00000RVvFOAA1","false","000000555","true","false","","a5VWE0000048GDU2A2","","a51WE00001GcKSeYAN","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","100.0","","","","false","false","","Balance Sheet","42076416401899685","4.0","1.0","0.0","false","0.0","0.0","0.0","0.0","0.0","4.0","true","true"
"a55WE000025VlyaYAC","005al00000RVvFOAA1","false","000000556","true","false","","a5VWE0000048GDQ2A2","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","800.0","","","","false","false","","Summary Direct CF","42103913745787910","4.0","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","4.0","false","false"
"a55WE000025VlybYAC","005al00000RVvFOAA1","false","000000557","true","false","","a5VWE0000048GDR2A2","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","400.0","","","","false","false","","Schedule E","42110713410118741","4.0","0.0","0.0","false","0.0","0.0","0.0","0.0","0.0","4.0","false","false"
"a55WE000025VlycYAC","005al00000RVvFOAA1","false","000000558","true","false","","a5VWE0000048GDN2A2","","a51WE00001GcKRAYA3","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","100.0","","","","false","false","","Income Statement","42119330121408107","4.0","0.0","0.0","false","1.0","0.0","0.0","0.0","0.0","4.0","true","true"
"a55WE000025VlydYAC","005al00000RVvFOAA1","false","000000559","true","false","","a5VWE0000048GDO2A2","","","","false","false","false","","Sole Proprietorship","true","keyboard","0.0","false","true","300.0","","","","false","false","","Traditional Cash Flow","42120881615033539","4.0","0.0","0.0","false","0.0","0.0","0.0","1.0","0.0","4.0","false","false"
