"Id","OwnerId","IsDeleted","Name","EFPIO__CorrelationId__c","EFPIO__Details__c","EFPIO__FullyQualifiedClassName__c","EFPIO__Parent_EventLog__c","EFPIO__PerformAsync__c","EFPIO__Registry__c","EFPIO__Status__c","EFPIO__Timestamp__c","EFPIO__TransactionLog__c"
"a5sWD000000DGIHYA4","005al00000RVcKvAAL","false","EL-0000","PN80694245","","Catrice Tillman IV","","true","Associated Package Registry 1","Submitted","626.28",""
"a5sWD000000DGIIYA4","005al00000RVcKvAAL","false","EL-0001","SY90598818","","Shantell Waters II","","false","Associated Package Registry 2","Draft","391.13",""
"a5sWD000000DGIJYA4","005al00000RVcKvAAL","false","EL-0002","UC72409031","","Ms. Bart Gleason","","true","Associated Package Registry 3","Draft","762.23",""
"a5sWD000000DGIKYA4","005al00000RVcKvAAL","false","EL-0003","ZB79441419","","Miss Davis Hackett","","true","Associated Package Registry 4","Pending","234.38",""
"a5sWD000000DGILYA4","005al00000RVcKvAAL","false","EL-0004","KN80109336","","Mr. Nicky Schroeder","","true","Associated Package Registry 5","Active","990.78",""
"a5sWD000000DGIMYA4","005al00000RVcKvAAL","false","EL-0005","BQ57054745","","Eloise Hermiston","","false","Associated Package Registry 6","Active","610.29",""
"a5sWD000000DGINYA4","005al00000RVcKvAAL","false","EL-0006","GS54883334","","Ms. Dotty Pfeffer","","false","Associated Package Registry 7","Active","219.86",""
"a5sWD000000DGIOYA4","005al00000RVcKvAAL","false","EL-0007","IZ81170530","","Annis Bechtelar","","false","Associated Package Registry 8","Approved","200.55",""
"a5sWD000000DGIPYA4","005al00000RVcKvAAL","false","EL-0008","HA40323703","","Beau Hilpert","","true","Associated Package Registry 9","Submitted","352.1",""
"a5sWD000000DGIQYA4","005al00000RVcKvAAL","false","EL-0009","GM27845927","","Darnell DuBuque","","true","Associated Package Registry 10","Pending","934.0",""
"a5sWD000000DGIRYA4","005al00000RVcKvAAL","false","EL-0010","TW61504770","","Marcelo Corwin","","false","Associated Package Registry 11","Submitted","992.9",""
"a5sWD000000DGISYA4","005al00000RVcKvAAL","false","EL-0011","AN63884953","","Fredericka Zieme","","false","Associated Package Registry 12","Closed","934.46",""
"a5sWD000000DGITYA4","005al00000RVcKvAAL","false","EL-0012","UX15984498","","Dr. Refugio Braun","","true","Associated Package Registry 13","Draft","386.39",""
