"Id","OwnerId","IsDeleted","Name","LLC_BI__City__c","LLC_BI__Country__c","LLC_BI__Is_Current__c","LLC_BI__Monthly_Housing_Expense__c","LLC_BI__Months_At_Residence__c","LLC_BI__Postal_Code__c","LLC_BI__Residence_Type__c","LLC_BI__State__c","LLC_BI__Street__c","LLC_BI__Type__c","LLC_BI__lookupKey__c"
"a1GWD00000PkrkU2AR","005al00000RVcKvAAL","false","a1GWD00000PkrkU","","","false","","","","Lives with relatives or others","","","Physical",""
"a1GWD00000PkrkV2AR","005al00000RVcKvAAL","false","a1GWD00000PkrkV","","","false","","","","Home Buyer","","","Physical",""
"a1GWD00000PkrkW2AR","005al00000RVcKvAAL","false","a1GWD00000PkrkW","","","false","","","","Lives with relatives or others","","","Physical",""
"a1GWD00000PkrkX2AR","005al00000RVcKvAAL","false","a1GWD00000PkrkX","","","false","","","","Unknown","","","Physical",""
"a1GWD00000PkrkY2AR","005al00000RVcKvAAL","false","a1GWD00000PkrkY","","","false","","","","Home Buyer","","","Mailing",""
"a1GWD00000PkrkZ2AR","005al00000RVcKvAAL","false","a1GWD00000PkrkZ","","","false","","","","Home Buyer","","","Physical",""
"a1GWD00000Pkrka2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrka","","","false","","","","Home Buyer (Mobile Home)","","","PO Box",""
"a1GWD00000Pkrkb2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkb","","","false","","","","Renter","","","Physical",""
"a1GWD00000Pkrkc2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkc","","","false","","","","Home Owner","","","Mailing",""
"a1GWD00000Pkrkd2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkd","","","false","","","","Home Owner (Mobile Home)","","","Physical",""
"a1GWD00000Pkrke2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrke","","","false","","","","Home Owner (Mobile Home)","","","Mailing",""
"a1GWD00000Pkrkf2AB","005al00000RVcKvAAL","false","a1GWD00000Pkrkf","","","false","","","","Unknown","","","PO Box",""
