"Id","OwnerId","IsDeleted","Name","nFORCE__Conditional_Display_Criteria_Context__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Group__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Primary_Button_Text__c","nFORCE__Question_Group__c","nFORCE__Route__c","nFORCE__Visibility_Criteria__c","nFORCE__lookupKey__c","Route_App_Name__c","Route_Screen__c"
"a0jWD000006mrfWYAQ","005al00000RVcKvAAL","false","19298","","","a0XWD000002hCDI2A2","false","true","false","false","1625.0","a0mWD000003RE1AYAW","","","a0mWD000003RE1CYAW","","00041619447513221","post-approval-team-members","<a href=""/a0sWD00000Xo7Zl"" target=""_blank"">Team Members</a>"
"a0jWD000006mrikYAA","005al00000RVcKvAAL","false","19498","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCCT2A2","false","false","false","false","1560.0","","","","a0mWD000003RDglYAG","","0004450706","loan-post-team-members-lob-pwc","<a href=""/a0sWD00000Xo7el"" target=""_blank"">Loan Team Member Information</a>"
"a0jWD000006mrilYAA","005al00000RVcKvAAL","false","19499","","{{IF=""A OR B OR C OR D OR E OR F""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Review""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Complete""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Hold""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCCa2AM","false","false","false","false","8.0","","","","a0mWD000003RDPpYAO","","001448294D","lob-sba-paycheck-modification-category","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mrimYAA","005al00000RVcKvAAL","false","19500","","","a0XWD000002hC9i2AE","false","false","true","false","2.0","","","","a0mWD000003RDgBYAW","","001D45295A","lobloanbooked-borrowing-structure-lob-pwc","<a href=""/a0sWD00000Xo7g5"" target=""_blank"">Borrowing Structure Information</a>"
"a0jWD000006mrinYAA","005al00000RVcKvAAL","false","19501","","","a0XWD000002hCCV2A2","false","true","true","false","1.0","","","","a0mWD000003RDfLYAW","","004B42503F","balance-information-approved-m-lob-pwc","<a href=""/a0sWD00000Xo7fs"" target=""_blank"">Balance Details</a>"
"a0jWD000006mrioYAA","005al00000RVcKvAAL","false","19502","","","a0XWD000002hC9d2AE","false","false","true","false","20.0","","","","a0mWD000003RDcdYAG","","004D09501C","lobloanbooked-reg-o","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mripYAA","005al00000RVcKvAAL","false","19503","","","a0XWD000002hC9o2AE","false","true","false","false","15.0","","","","a0mWD000003RDj7YAG","","005E07254E","post-editable-risk-ratingsummary-lob-pwc","<a href=""/a0sWD00000Xo7i5"" target=""_blank"">Risk Rating Summary</a>"
"a0jWD000006mriqYAA","005al00000RVcKvAAL","false","19504","","","a0XWD000002hCCb2AM","false","false","false","false","10.0","","","","a0mWD000003RDOdYAO","","0060637A65","reviewheader","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mrirYAA","005al00000RVcKvAAL","false","19505","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Approval / Loan Committee""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Processing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Doc Prep""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Closing""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""E""}}{{COND=""E"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Post Closing Review""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""F""}}{{COND=""F"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCCC2A2","false","false","false","false","1510.0","a0mWD000003RE22YAG","","","a0mWD000003RDQUYA4","","00731620937670249","booked-approved-details","<a href=""/a0sWD00000XnoKF"" target=""_blank"">Approved Details</a>"
"a0jWD000006mrfXYAQ","005al00000RVcKvAAL","false","19299","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Is_Participation__c"" IS=""True""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCDI2A2","false","false","false","false","11000.0","","","","a0mWD000003RDwpYAG","","00871619447513222","post-approval-participations","<a href=""/a0sWD00000Xo7kZ"" target=""_blank"">Participations</a>"
"a0jWD000006mqf1YAA","005al00000RVcKvAAL","false","15623","","{{IF=""A OR B""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.Next_Steps__c"" IS=""Submit for Approval""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.Next_Steps__c"" IS=""Manual Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCCO2A2","false","false","true","false","200.0","a0mWD000003RDjaYAG","","","a0mWD000003RDkMYAW","","00961602764613611","retail-loan--post-approval-ui-approval-details","<a href=""/a0sWD00000Xo7by"" target=""_blank"">Approval Details</a>"
"a0jWD000006mqf2YAA","005al00000RVcKvAAL","false","15624","","","a0XWD000002hCCO2A2","false","false","false","false","460.0","a0mWD000003RDn1YAG","","","a0mWD000003RDn1YAG","","01071602764613604","retail-loan--post-approval-ui-underwriting-summary2","<a href=""/a0sWD00000Xo7bp"" target=""_blank"">Underwriting Details1</a>"
"a0jWD000006mrisYAA","005al00000RVcKvAAL","false","19506","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hC9d2AE","false","false","false","false","1770.0","","","","a0mWD000003RDi0YAG","","0108582525","sba-manage-fees-booked-lob-pwc","<a href=""/a0sWD00000Xo7fq"" target=""_blank"">Enhanced Fees Management</a>"
"a0jWD000006mqf3YAA","005al00000RVcKvAAL","false","15625","","{{IF=""A OR B""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Next_Steps__c"" IS=""Manual Underwriting""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.cm_Next_Steps__c"" IS=""Manual Underwriting - Counter Offer""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCCN2A2","false","false","false","true","1500.0","a0mWD000003RDjnYAG","","","a0mWD000003RDjdYAG","","01111663700614616","small-business-loan-post-approval-ui-underwriting-summary2","<a href=""/a0sWD00000Xo7bu"" target=""_blank"">Underwriting Details1</a>"
"a0jWD000006mrFYYAY","005al00000RVcKvAAL","false","17688","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.Partner_True__c"" IS=""FALSE""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hC9f2AE","false","false","false","false","6000.0","","","","a0mWD000003RDbtYAG","","01274D5E28","risk-rating-lobloanpre","<a href=""/a0sWD00000Xo7cL"" target=""_blank"">Risk Rating</a>"
"a0jWD000006mrFSYAY","005al00000RVcKvAAL","false","17682","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.Partner_True__c"" IS=""FALSE""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hC9f2AE","false","false","false","false","25000.0","","","","a0mWD000003RDPVYA4","","01295F5132","loan-approval-history","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mritYAA","005al00000RVcKvAAL","false","19507","","","a0XWD000002hCCB2A2","false","true","true","false","1.0","","","","a0mWD000003RDhXYAW","","013F314A09","sba-change-of-ownership-parent-lob-pwc","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mriuYAA","005al00000RVcKvAAL","false","19508","","","a0XWD000002hC9f2AE","false","false","false","true","3.0","","","","a0mWD000003RDcFYAW","","014408276C","lob-sba-paycheck-draws---disbursements2","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mrivYAA","005al00000RVcKvAAL","false","19509","","","a0XWD000002hC9i2AE","false","false","false","false","3.0","","","","a0mWD000003RDONYA4","","01504B6354","lob-sba-paycheck-reg-w","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mriwYAA","005al00000RVcKvAAL","false","19510","","","a0XWD000002hCCP2A2","false","false","false","false","30.0","","","","a0mWD000003RDQXYA4","","01551610041033798","first-draw-loan-next-steps","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mrixYAA","005al00000RVcKvAAL","false","19511","","","a0XWD000002hC9o2AE","false","false","false","true","70.0","","","","a0mWD000003RDgdYAG","","015A070B46","lob-loan-post-pricing-required-fields-lob-pwc","<a href=""/a0sWD00000Xo7gT"" target=""_blank"">Pricing Required Fields</a>"
"a0jWD000006mriyYAA","005al00000RVcKvAAL","false","19512","","","a0XWD000002hC9d2AE","false","false","false","true","9010.0","a0mWD000003RDejYAG","","","a0mWD000003RDOYYA4","","0200350F20","atbk-booking-review-submit-deposit","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mqf4YAA","005al00000RVcKvAAL","false","15626","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Are_you_applying_with_a_Business__c"" IS=""Yes""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hC9q2AE","false","false","false","false","30.0","a0mWD000003RDnMYAW","","","a0mWD000003RDmyYAG","","02031666029062600","small-business-loan-online-application-your-business","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mrFgYAI","005al00000RVcKvAAL","false","17696","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LOB_Change_Memo_UI_locking__c"" NOT=""approved changes not completed""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCCa2AM","false","false","false","true","50.0","a0mWD000003RDi4YAG","","","a0mWD000003RDqnYAG","","021A3F334B","pricingest-post-lob-pwc","<a href=""/a0sWD00000Xo7gU"" target=""_blank"">Pricing Estimates</a>"
"a0jWD000006mrizYAA","005al00000RVcKvAAL","false","19513","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.Partner_True__c"" IS=""FALSE""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWD000002hCCH2A2","false","false","false","true","1.0","","","","a0mWD000003RDPMYA4","","021E0A6B19","loanbooked-stage-docprep","<a href=""/a0sWD00000Xo7jA"" target=""_blank"">DocPrep</a>"
"a0jWD000006mrj0YAA","005al00000RVcKvAAL","false","19514","","","a0XWD000002hCB62AM","false","false","false","false","0.0","","","","a0mWD000003RDd0YAG","","023C437369","lob-loan-post-syndications-summary","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mrj1YAA","005al00000RVcKvAAL","false","19515","","","a0XWD000002hC9i2AE","false","false","false","false","2020.0","","","","a0mWD000003RDe6YAG","","0245214678","sba-paycheck-manage-fees-lob-pwc","<a href=""/a0sWD00000Xo7fq"" target=""_blank"">Enhanced Fees Management</a>"
"a0jWD000006mrF2YAI","005al00000RVcKvAAL","false","17656","","","a0XWD000002hC9g2AE","false","false","false","false","1330.0","a0mWD000003RDd9YAG","","","a0mWD000003RDO6YAO","","0248533E35","lob-loan-post-credit-underwriting","<a href=""/a0sWD00000Xo7c0"" target=""_blank"">Credit Underwriting</a>"
"a0jWD000006mrj2YAA","005al00000RVcKvAAL","false","19516","","","a0XWD000002hC9j2AE","false","false","false","false","8500050.0","a0mWD000003RE1LYAW","","a0XWD000002hCD32AM","a0mWD000003RDbRYAW","","02581615577844334","comm-accel-loan-cra","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mrj3YAA","005al00000RVcKvAAL","false","19517","","","a0XWD000002hCCb2AM","false","true","false","false","30.0","","","","a0mWD000003RDgTYAW","","025A0C5D0E","loan-stage-docprep-lob-pwc","<a href=""/a0sWD00000Xo7ey"" target=""_blank"">DocPrep</a>"
"a0jWD000006mrj4YAA","005al00000RVcKvAAL","false","19518","","","a0XWD000002hCB62AM","false","false","false","false","3.0","","","","a0mWD000003RDQDYA4","","02620F1D0F","lobloanbooked-loan-compliance","<a href=""/"" target=""_blank""> </a>"
"a0jWD000006mrj5YAA","005al00000RVcKvAAL","false","19519","","","a0XWD000002hCCK2A2","false","true","true","false","1.0","","","","a0mWD000003RDcNYAW","","0262566257","lobloanbooked-collateral","<a href=""/"" target=""_blank""> </a>"
