"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0val00000HgmITAAZ","false","SC-000004784","a0qal00000CdJdcAAF","1.01","Pledge_Collateral_Override","","","false","","","","","false","123471263486124956","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmIUAAZ","false","SC-000004785","a0qal00000CdJdeAAF","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","128346834124926912","LLC_BI__Collateral__c"
"a0vVx00000QYiw5IAD","false","SC-000008265","a0qVx00000Gm4DoIAJ","1.01","","","","false","","","","","false","2435764","test-object"
"a0val00000HgmIVAAZ","false","SC-000004786","a0qal00000CdJe0AAF","1.01","Pledge_Collateral_Override","","","false","","","","","false","345665435346723627545","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmIWAAZ","false","SC-000004787","a0qal00000CdJdHAAV","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","34566786551456374667","LLC_BI__Collateral__c"
"a0val00000HgmIXAAZ","false","SC-000004788","a0qal00000CdJdhAAF","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","34597864358734287569","LLC_BI__Collateral__c"
"a0val00000HgmIZAAZ","false","SC-000004790","a0qal00000CdJdtAAF","1.01","Pledge_Collateral_Override","","","false","","","","","false","366562457038518356","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmIaAAJ","false","SC-000004791","a0qal00000CdJdAAAV","1.01","Pledge_Collateral_Override","","","false","","","","","false","42001121331500796","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmIbAAJ","false","SC-000004792","a0qal00000CdJdVAAV","1.01","UCC_Collateral_Valuation","","0.0","false","","","Collateral Valuation","","false","42001690159558524","LLC_BI__Collateral__c"
"a0val00000HgmIcAAJ","false","SC-000004793","a0qal00000CdJdFAAV","1.01","Collateral_Valuation_Titled_Ship","","0.0","false","","","Collateral Valuation","","false","42012762933282167","LLC_BI__Collateral__c"
"a0val00000HgmIdAAJ","false","SC-000004794","a0qal00000CdJdPAAV","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42016530666628131","LLC_BI__Collateral__c"
"a0val00000HgmIeAAJ","false","SC-000004795","a0qal00000CdJe8AAF","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42016811662619443","LLC_BI__Collateral__c"
"a0val00000HgmIfAAJ","false","SC-000004796","a0qal00000CdJdEAAV","1.01","Collateral_Valuation_Titled_Aircraft","","0.0","false","","","Collateral Valuation","","false","42017258841327368","LLC_BI__Collateral__c"
"a0val00000HgmdAAAR","false","SC-000005556","a0qal00000CdJtcAAF","1.01","LLC_BI__Pledge_Details","","","false","","","Pledge Details","","false","42021803137064143","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmIgAAJ","false","SC-000004797","a0qal00000CdJdSAAV","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42035299851856958","LLC_BI__Collateral__c"
"a0val00000HgmIhAAJ","false","SC-000004798","a0qal00000CdJdbAAF","1.01","Collateral_Valuation_Possessory_Securiti","","","false","","","","","false","42056536356227109","LLC_BI__Collateral__c"
"a0val00000HgmIiAAJ","false","SC-000004799","a0qal00000CdJdOAAV","1.01","Collateral_Valuation_Possessory_Other","","","false","","","","","false","42062414693837949","LLC_BI__Collateral__c"
"a0val00000HgmdNAAR","false","SC-000005569","a0qal00000CdJkAAAV","1.01","SBL_Pledge_Collateral_Override","","","false","","","","","false","42080298160439060","LLC_BI__Loan_Collateral2__c"
"a0vVx00000QYj1jIAD","false","SC-000008615","a0qVx00000Gm4gCIAR","1.01","LLC_BI__Bulk_Pledge_Details","","","false","","","","","false","42102009094136500","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmIjAAJ","false","SC-000004800","a0qal00000CdJd1AAF","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42105504139904275","LLC_BI__Collateral__c"
"a0vVx00000QYj1pIAD","false","SC-000008621","a0qVx00000Gm4IiIAJ","1.01","LLC_BI__Collateral_Modal_Details","","","false","","","Details","","false","42107958853547987","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmdbAAB","false","SC-000005583","a0qal00000CdJroAAF","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42143434852308312","LLC_BI__Collateral__c"
"a0val00000HgmIlAAJ","false","SC-000004802","a0qal00000CdJdIAAV","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42147866350266157","LLC_BI__Collateral__c"
"a0val00000HgmImAAJ","false","SC-000004803","a0qal00000CdJdJAAV","1.01","Pledge_Collateral_Override","","","false","","","","","false","42159007666787935","LLC_BI__Loan_Collateral2__c"
"a0vVx00000QYj3tIAD","false","SC-000008749","a0qVx00000Gm4ibIAB","1.01","LLC_BI__Pledge_Details","","","false","","","Pledge Details","","false","42166220978297466","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmInAAJ","false","SC-000004804","a0qal00000CdJeDAAV","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42183608085695102","LLC_BI__Collateral__c"
"a0val00000HgmIoAAJ","false","SC-000004805","a0qal00000CdJd7AAF","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42194095530043933","LLC_BI__Collateral__c"
"a0vVx00000QYj5vIAD","false","SC-000008875","a0qVx00000Gm4btIAB","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42201324532349364","LLC_BI__Collateral__c"
"a0val00000HgmIpAAJ","false","SC-000004806","a0qal00000CdJd0AAF","1.01","Collateral_Valuation_Titled_Mobile_Home","","0.0","false","","","Collateral Valuation","","false","42206872088823830","LLC_BI__Collateral__c"
"a0val00000HgmIqAAJ","false","SC-000004807","a0qal00000CdJd5AAF","1.01","Collateral_Valuation_Titled_Boats","","0.0","false","","","Collateral Valuation","","false","42244785783992750","LLC_BI__Collateral__c"
"a0val00000HgmIrAAJ","false","SC-000004808","a0qal00000CdJcwAAF","1.01","Collateral_Valuation_Vessel","","","false","","","Collateral Valuation","","false","42255708316706025","LLC_BI__Collateral__c"
"a0val00000HgmIsAAJ","false","SC-000004809","a0qal00000CdJdvAAF","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42256916355898128","LLC_BI__Collateral__c"
"a0val00000HgmItAAJ","false","SC-000004810","a0qal00000CdJdKAAV","1.01","Collateral_Valuation_Possessory_Life_Ins","","","false","","","","","false","42260855840941589","LLC_BI__Collateral__c"
"a0vVx00000QYj8SIAT","false","SC-000009032","a0qVx00000Gm4U5IAJ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42269554666755069","LLC_BI__Collateral__c"
"a0val00000HgmIuAAJ","false","SC-000004811","a0qal00000CdJcyAAF","1.01","LLC_BI__Leased_Asset_Search_Results","","","false","","","Search Results","","false","42271488687128013","LLC_BI__Collateral__c"
"a0vVx00000QYkH4IAL","false","SC-000013180","a0qVx00000Gm4kbIAB","2.02","Review_Pg_3508_Approved_in_Full","","0.0","false","a0vVx00000QYjT3IAL","LLC_BI__Account__r","","","false","42275109629481255","Account"
"a0vVx00000QYj8bIAD","false","SC-000009041","a0qVx00000Gm4WgIAJ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42277874525359444","LLC_BI__Collateral__c"
"a0val00000HgmIvAAJ","false","SC-000004812","a0qal00000CdJdMAAV","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42320818129596128","LLC_BI__Collateral__c"
"a0val00000HgmIwAAJ","false","SC-000004813","a0qal00000CdJeCAAV","1.01","LLC_BI__Leased_Asset_Valuation","","","false","","","Valuation","","false","42327143344905966","LLC_BI__Collateral__c"
"a0vVx00000QYjAxIAL","false","SC-000009187","a0qVx00000Gm4UlIAJ","1.01","LLC_BI__Bulk_Pledge_Details","","","false","","","","","false","42330171863140963","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmIxAAJ","false","SC-000004814","a0qal00000CdJd8AAF","1.01","Pledge_Collateral_Override","","","false","","","","","false","42337201555641886","LLC_BI__Loan_Collateral2__c"
"a0vVx00000QYjBDIA1","false","SC-000009203","a0qVx00000Gm4SqIAJ","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42347400432200154","LLC_BI__Collateral__c"
"a0vVx00000QYjBOIA1","false","SC-000009214","a0qVx00000Gm4XlIAJ","1.01","LLC_BI__Pledge_Details","","","false","","","Pledge Details","","false","42355610245990104","LLC_BI__Loan_Collateral2__c"
"a0vVx00000QYkIVIA1","false","SC-000013269","a0qVx00000Gm4kbIAB","2.03","Review_Pg_3508_AND_3508EZ","","0.0","false","a0vVx00000QYjT3IAL","Forgiveness_Applicant__r","","","false","42361834015813239","Contact"
"a0val00000HgmIyAAJ","false","SC-000004815","a0qal00000CdJcvAAF","1.01","Collateral_Valuation_Possessory_Other","","","false","","","","","false","42363487651419849","LLC_BI__Collateral__c"
"a0val00000HgmeYAAR","false","SC-000005642","a0qal00000CdJtKAAV","1.01","LLC_BI__Collateral_Valuation","","","false","","","Collateral Valuation","","false","42364688705520906","LLC_BI__Collateral__c"
"a0vVx00000QYjBaIAL","false","SC-000009226","a0qal00000CdJtKAAV","1.01","SBL_Possessory_Collateral_Valuation","","","false","","","Collateral Valuation","","false","423646887055209061","LLC_BI__Collateral__c"
"a0vVx00000QYjCqIAL","false","SC-000009304","a0qVx00000Gm4d3IAB","1.01","LLC_BI__Collateral_Modal_Details","","","false","","","Details","","false","42371294895782016","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmIzAAJ","false","SC-000004816","a0qal00000CdJd6AAF","1.01","Collateral_Valuation_Possessory_Securiti","","","false","","","","","false","42421085554246174","LLC_BI__Collateral__c"
"a0vVx00000QYjF7IAL","false","SC-000009445","a0qVx00000Gm4d2IAB","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42427045306494469","LLC_BI__Collateral__c"
"a0val00000HgmJ0AAJ","false","SC-000004817","a0qal00000CdJdqAAF","1.01","Pledge_Collateral_Override","","","false","","","","","false","42447816184090719","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmJ1AAJ","false","SC-000004818","a0qal00000CdJdgAAF","1.01","Pledge_Collateral_Override","","","false","","","","","false","42448435503936976","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmJ2AAJ","false","SC-000004819","a0qal00000CdJeAAAV","1.01","Collateral_Valuation_Possessory_Life_Ins","","","false","","","","","false","42465023372126474","LLC_BI__Collateral__c"
"a0val00000HgmJ3AAJ","false","SC-000004820","a0qal00000CdJctAAF","1.01","Collateral_Valuation_Possessory_Life_Ins","","","false","","","","","false","42470968501031010","LLC_BI__Collateral__c"
"a0val00000HgmJ4AAJ","false","SC-000004821","a0qal00000CdJdkAAF","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42479158610944088","LLC_BI__Collateral__c"
"a0vVx00000QYjHWIA1","false","SC-000009594","a0qVx00000Gm4bGIAR","1.01","LLC_BI__Bulk_Pledge_Details","","","false","","","","","false","42495251835477137","LLC_BI__Loan_Collateral2__c"
"a0val00000HgmJ5AAJ","false","SC-000004822","a0qal00000CdJd3AAF","1.01","Pledge_Collateral_Override","","","false","","","","","false","42514632499443989","LLC_BI__Loan_Collateral2__c"
