"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c","AutorabitExtId__c","nFORCE__Taxonomy_Id__c","nFORCE__Parameters__c","nFORCE__Body_Type__c","nFORCE__Description__c"
"a2EKU0000004owt2AA","0058c00000BxeO9AAJ","false","Adverse Actions","small-business-loan-post-approval-ui-adverse-actions","nforce__korelatedtable","","n-icon-reject","false","nforce__navigation","","","a2GKU0000004WCQ2A2","nforce__sub_navigation","","nforce__topbar","02311663700623961","","adverse-actions","","",""
"a2EKU0000004oyx2AA","0058c00000BxeO9AAJ","false","Verification","second-draw-loan-individual-other-involved-verification","NPORTAL__PortalEIDVerification","","","false","NPORTAL__ApplicationNavigation","30.0","","","","","NPORTAL__LoanTopbar","02751610550757464","","second-draw-loan-individual-other-involved-verification","","","This questionnaire protects you, and us, from identity fraud."
"a2EKU0000004oyb2AA","0058c00000BxeO9AAJ","false","Borrowing Structure","sba-paycheck-borrowing-structure","LLC_BI__BorrowingStructure","","n-icon-relationship","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","02901585311467616","","sba-paycheck-borrowing-structure","","",""
"a2EKU0000004p0R2AQ","0058c00000BxeO9AAJ","false","Editable Fields","lobloanbooked-editable-fields","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","033B430C1F4D4457A7557D4D4E005742","","lobloanbooked-editable-fields","","",""
"a2EKU0000004p1c2AA","0058c00000BxeO9AAJ","false","Draws & Disbursements","lob-loan-post-draws---disbursements2","llc_bi__draw_history_app","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","0367595D476C40558A07275040160C13","","lob-loan-post-draws---disbursements2","","",""
"a2EKU0000004p202AA","0058c00000BxeO9AAJ","false","Entity Compliance","lob-sba-paycheck-entity-compliance","llc_bi__hmda_entity_compliance","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","036F683F0A614D2BB155107C1369690D","","lob-sba-paycheck-entity-compliance","","",""
"a2EKU0000004p0o2AA","0058c00000BxeO9AAJ","false","Risk Rating","lob-loan-post-risk-rating","nforce__ncrelatedlist","","n-icon-risk_grading","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","037832003D424C6F8659735B125B7025","","lob-loan-post-risk-rating","readonly=true","",""
"a2EKU0000004olR2AQ","0058c00000BxeO9AAJ","false","Reg O","booked-reg-o","llc_bi__Questionnaire_Loan_App","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","03791620937670640","","booked-reg-o","","",""
"a2EKU0000004oye2AA","0058c00000BxeO9AAJ","false","Application","first-draw-loan-individual-other-involved-application","NPORTAL__PortalForm","","","false","NPORTAL__ApplicationNavigation","10.0","","","","","NPORTAL__LoanTopbar","03871610326486256","","first-draw-loan-individual-other-involved-application","","",""
"a2EKU0000004oyf2AA","0058c00000BxeO9AAJ","false","Application","first-draw-loan-application","NPORTAL__PortalForm","","","false","NPORTAL__ApplicationNavigation","10.0","","","","","NPORTAL__LoanTopbar","04071610326297862","","first-draw-loan-application","","",""
"a2EKU0000004p0G2AQ","0058c00000BxeO9AAJ","false","Budget Details","lobloanbooked-budget-details","llc_bi__budget_detail_app","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","040C4F7356204B3AAA28025D7722202E","","lobloanbooked-budget-details","","",""
"a2EKU0000004owG2AQ","0058c00000BxeO9AAJ","false","Collateral Summary","retail-loan-ui-collateral-summary","LLC_BI__Collateral_2_Management","","n-icon-collateral","false","nFORCE__navigation","","","a2GKU0000004WD92AM","nFORCE__sub_navigation","","nretail__summaryheadertopbar","04151600720267654","","retail-loan-ui-collateral-summary","","Visualforce Page","This productized route is the retail template for the Collateral Summary route. Users clone this route to reduce configuration and implementation time."
"a2EKU0000004p1b2AA","0058c00000BxeO9AAJ","false","Overview","lob-loan-post-overview","llc_bi__draw_app","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","041A7A522F0D4D6E963445457B654721","","lob-loan-post-overview","","",""
"a2EKU0000004ozG2AQ","0058c00000BxeO9AAJ","false","Unavailable Credit","sba-unavail-credit","nforce__korelatedlistchild","","n-icon-misc5","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","043C7778727A447BBF0365736A0D0A08","","sba-unavail-credit","","",""
