"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nPortal__Picklist_Buttons_Enabled__c"
"a0SWD000001m0Rm2AI","005al00000RVcKvAAL","false","FC-002503","","","","","","","","Current_Previous_Daily_Limit__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GTAAmYAP","","false","","02611576590235403","Daily_Limit_Change__c",""
"a0SWD000001m0Rn2AI","005al00000RVcKvAAL","false","FC-002504","","","","","","","","Approval_Date__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GTACeYAP","","false","","02621576590190034","LLC_BI__Treasury_Service__c",""
"a0SWD000001m0Ro2AI","005al00000RVcKvAAL","false","FC-002505","","","","","","","","LLC_BI__Employee_Relationship__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GTAAYYA5","","false","","03491663700626156","Account",""
"a0SWD000001m0Rp2AI","005al00000RVcKvAAL","false","FC-002506","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GT8aBYAT","","false","","04471576590190033","Daily_Limit_Change__c",""
"a0SWD000001lzq32AA","005al00000RVcKvAAL","false","FC-001974","","","","","","","","LLC_BI__Total_Direct_Exposure__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GSgTmYAL","","false","","04891663700626156","Account",""
"a0SWD000001lzqk2AA","005al00000RVcKvAAL","false","FC-002017","","","","","","","","LLC_BI__Product_Line__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000GSgVEYA1","","false","","09451701790671658","LLC_BI__Deposit__c",""
"a0SWD000001m0Rq2AI","005al00000RVcKvAAL","false","FC-002507","","","","","","","","CreatedDate","","","","false","","","false","false","false","false","false","true","false","true","false","","","a0qWD00000GTAD0YAP","","false","","09931576256670096","Daily_Limit_Change__c",""
"a0SWD000001m0Rr2AI","005al00000RVcKvAAL","false","FC-002508","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GTACVYA5","","false","","10551575853422917","Daily_Limit_Change__c",""
"a0SWD000001m0Rs2AI","005al00000RVcKvAAL","false","FC-002509","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GTAD0YAP","","false","","11121576256670097","Daily_Limit_Change__c",""
"a0SWD000001lzwM2AQ","005al00000RVcKvAAL","false","FC-002365","","","","","","","","Referral_Contact__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GT8f3YAD","","false","","111234352324324","LLC_BI__Loan__c",""
"a0SWD000001lzqo2AA","005al00000RVcKvAAL","false","FC-002021","","","","","","","","LLC_BI__Product_Type__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000GSgVEYA1","","false","","13071701790671659","LLC_BI__Deposit__c",""
"a0SWD000001m0Rt2AI","005al00000RVcKvAAL","false","FC-002510","","","","","","","","Eligible_Product_Tier__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GTAVVYA5","","false","","13412414","LLC_BI__Loan__c",""
"a0SWD000001lzq42AA","005al00000RVcKvAAL","false","FC-001975","","","","","","Alimony Support|Gross Annual Income|Investment/Trust Income|Other Income|Rental Income","","LLC_BI__Income_Type__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000GSgUBYA1","","false","","14611666029076797","LLC_BI__Income__c",""
"a0SWD000001m0Ru2AI","005al00000RVcKvAAL","false","FC-002511","","","","","","","","Approval_Date__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GTAEqYAP","","false","","17231576590026486","LLC_BI__Treasury_Service__c",""
