"Id","IsDeleted","Name","LLC_BI__Product_Type__c","LLC_BI__Is_Booked__c","LLC_BI__Stage__c","LLC_BI__Stage_and_Status__c","LLC_BI__Status__c","LLC_BI__lookupKey__c","LLC_BI__Is_Closed__c","LLC_BI__External_Stage_Order__c","LLC_BI__External_Stage__c","LLC_BI__Is_Excluded_From_Stage_Duration__c","LLC_BI__Is_Ready_To_Transmit__c","LLC_BI__Activate__c","LLC_BI__Is_Covenant__c"
"a1Vbn000008kKnlEAE","","P-0000001451","a0tbn000008f3QTAAY","false","Complete","","Paid Out","42005864846853469","false","5.0","Complete","false","false","false","false"
"a1Vbn000008Iqk0EAC","","P-0000001431","a0tbn000008H0TfAAK","false","Final Review","","Open","42008822828734137","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008Iqk8EAC","","P-0000001439","a0tbn000008H0TfAAK","true","Complete","","Paid Out","42018266336386207","true","4.0","Complete","false","false","false","false"
"a1Vbn000008Iqk3EAC","","P-0000001434","a0tbn000008H0TfAAK","false","Doc Prep","","Open","42018722935640308","false","2.0","Processing","false","false","false","false"
"a1Vbn000007ly3DEAQ","","P-0000001398","a0tbn000007pcYlAAI","true","Complete","","Charge-Off","42049215571710581","true","","","false","false","false","false"
"a1Vbn000008Iqk1EAC","","P-0000001432","a0tbn000008H0TfAAK","false","Approval / Loan Committee","","Open","42055478632658391","false","1.0","Underwriting","false","false","false","false"
"a1Vbn000008kKoAEAU","","P-0000001476","a0tbn000008f3QUAAY","false","Complete","","Paid Out","42069639220067540","false","5.0","Complete","false","false","false","false"
"a1Vbn000008Iqk2EAC","","P-0000001433","a0tbn000008H0TfAAK","false","Processing","","Open","42070066773037515","false","2.0","Processing","false","false","false","false"
"a1Vbn000008kKnmEAE","","P-0000001452","a0tbn000008f3QVAAY","false","Qualification","","Open","42070523236473312","false","1.0","Application","false","false","false","false"
"a1Vbn000008Iqk4EAC","","P-0000001435","a0tbn000008H0TfAAK","false","Closing","","Open","42092020650221473","true","3.0","Closing","false","false","false","false"
"a1Vbn000008IqjpEAC","","P-0000001420","a0tbn000008H0TdAAK","false","Doc Prep","","Open","42121367641846030","false","2.0","Processing","false","false","false","false"
"a1Vbn000008IqjkEAC","","P-0000001415","a0tbn000008H0TdAAK","false","Proposal","","Open","42123682987924727","false","0.0","Application","false","false","false","false"
"a1Vbn000007lxzhEAA","","P-0000001380","a0tbn000007pcYmAAI","false","Boarding","","Open","42137579483405148","true","","","false","false","false","false"
"a1Vbn000008kKo1EAE","","P-0000001467","a0tbn000008f3QTAAY","false","Complete","","Withdrawn","42143118856682717","false","5.0","Complete","false","false","false","false"
"a1Vbn000007ly3CEAQ","","P-0000001397","a0tbn000007pcYlAAI","true","Complete","","Withdrawn","42163610529506463","true","","","false","false","false","false"
"a1Vbn000008kKnyEAE","","P-0000001464","a0tbn000008f3QUAAY","false","Processing","","Open","42168668858673561","false","4.0","Processing","false","false","false","false"
"a1Vbn000008kKo5EAE","","P-0000001471","a0tbn000008f3QUAAY","false","Booked","","Open","42176110339756687","false","5.0","Complete","false","false","false","false"
"a1Vbn000007lxzmEAA","","P-0000001385","a0tbn000007pcYmAAI","true","Complete","","Charge-Off","42176270736625653","true","","","false","false","false","false"
"a1Vbn000008kKo9EAE","","P-0000001475","a0tbn000008f3QUAAY","false","Closing","","Open","42206427720272091","false","4.0","Processing","false","false","false","false"
"a1Vbn000008kKo4EAE","","P-0000001470","a0tbn000008f3QUAAY","false","Credit Underwriting","","Open","42222223668205573","false","2.0","Underwriting","false","false","false","false"
"a1Vbn000008IqjbEAC","","P-0000001406","a0tbn000008H0TeAAK","false","Doc Prep","","Open","42247285589334626","false","2.0","Processing","false","false","false","false"
"a1Vbn000007lxzsEAA","","P-0000001391","a0tbn000007pcYnAAI","true","Complete","","Withdrawn","42254186496941479","true","","","false","false","false","false"
"a1Vbn000008IqjVEAS","","P-0000001400","a0tbn000008H0TeAAK","false","Qualification","","Open","42260204552843784","false","0.0","Application","false","false","false","false"
"a1Vbn000008kKnxEAE","","P-0000001463","a0tbn000008f3QUAAY","false","Approval/Loan Committee","","Open","42260302185624709","false","3.0","Approval","false","false","false","false"
"a1Vbn000007ly39EAA","","P-0000001394","a0tbn000007pcYfAAI","true","Complete","","Withdrawn","42274675648552420","true","","","false","false","false","false"
"a1Vbn000007lxznEAA","","P-0000001386","a0tbn000007pcYmAAI","true","Complete","","Paid Out","42288345429392701","true","","","false","false","false","false"
