"Id","OwnerId","IsDeleted","Name","LLC_BI__Budget_Template_Id__c","LLC_BI__Budget_Template__c","LLC_BI__Description__c","LLC_BI__Is_Initially_Editable__c","LLC_BI__Is_Template__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Allocated__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_Remaining__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Total_Allocated__c","LLC_BI__Total_Budget_Amount__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__Total_Remaining__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Hard_Costs__c","LLC_BI__Percent_Other_Costs__c","LLC_BI__Percent_Soft_Costs__c","LLC_BI__Total_Hard_Costs__c","LLC_BI__Total_Other_Costs__c","LLC_BI__Total_Soft_Costs__c","AutorabitExtId__c"
"a258c000004VBJpAAO","0058c00000BxeO9AAJ","false","CLA Complex Budget 1 Template","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42021036359002676","","","","0.0","0.0","0.0",""
"a258c000004VBCYAA4","0058c00000BxeO9AAJ","false","NcinoRecord-01","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42056301407591363","","","","0.0","0.0","0.0",""
"a25Ka000003Td4IIAS","0058c00000BxeO9AAJ","false","Elite budget","","","","true","false","0.0","831.1042","1068.8958","-968.8958","-731.1042","-6230.0","5344.0","643.0","6873.0","-4701.0","42069451525749142","0.0","0.0","0.0","0.0","0.0","0.0",""
"a25Ka000003Td4GIAS","0058c00000BxeO9AAJ","false","Contract budget","","","","true","false","0.0","17.0406","154.4364","-54.4364","82.9594","-23780.0","7444.0","43684.0","67464.0","36240.0","42081875638704092","0.0","0.0","0.0","0.0","0.0","0.0",""
"a258c000004VBJqAAO","0058c00000BxeO9AAJ","false","CLA Simple Budget 2 Template","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42110583086880417","","","","0.0","0.0","0.0",""
"a258c000004VBLJAA4","0058c00000BxeO9AAJ","false","New Rec 62 updated","","","","false","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42152289717499210","","","","0.0","0.0","0.0",""
"a25Ka000003Td4DIAS","0058c00000BxeO9AAJ","false","Services budget","","","","true","false","883.0","1128.2258","113.3065","-131.9892","-1028.2258","-982.0","8394.0","744.0","843.0","-7650.0","42172159694687762","0.0","0.0","0.0","0.0","0.0","0.0",""
"a258c000004VBJrAAO","0058c00000BxeO9AAJ","false","CLA Simple Budget 1 Template","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42190861640379324","","","","0.0","0.0","0.0",""
"a258c000004VBJsAAO","0058c00000BxeO9AAJ","false","CLA Complex Budget 1 Template","","a258c000004VBJxAAO","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","42191334335403812","0.0","0.0","0.0","0.0","0.0","0.0",""
"a258c000004VBJtAAO","0058c00000BxeO9AAJ","false","CLA Complex Budget 1 Template","","a258c000004VBJwAAO","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","42228810885640343","0.0","0.0","0.0","0.0","0.0","0.0",""
"a25Ka000003SBbuIAG","0058c00000BxeO9AAJ","false","newJob001","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42235077918149309","","","","0.0","0.0","0.0",""
"a258c000004VBCaAAO","0058c00000BxeO9AAJ","false","New Budgets 01","","a258c000004VBKUAA4","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","42244306118689534","0.0","0.0","0.0","0.0","0.0","0.0",""
"a258c000004VBJuAAO","0058c00000BxeO9AAJ","false","CLA Simple Budget 1 Template","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42253046241412123","","","","0.0","0.0","0.0",""
"a25Ka000003Td4RIAS","0058c00000BxeO9AAJ","false","A budget 2","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42290867984417717","","","","0.0","0.0","0.0",""
"a25Ka000003Td4HIAS","0058c00000BxeO9AAJ","false","Intake budget","","","","true","false","0.0","9.541","9.6764","90.3236","90.459","6002.0","634.0","6645.0","643.0","6011.0","42319798035310692","0.0","0.0","0.0","0.0","0.0","0.0",""
"a25Ka000003Td4LIAS","0058c00000BxeO9AAJ","false","semi annual budget","","","","true","false","0.0","136024.5723","1188.647","-1088.647","-135924.5723","-7000.0","874638.0","643.0","7643.0","-873995.0","42426512277583364","0.0","0.0","0.0","0.0","0.0","0.0",""
"a25Ka000003Td4UIAS","0058c00000BxeO9AAJ","false","AA budget 3","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42499909363725076","","","","0.0","0.0","0.0",""
"a25Ka000003Td4JIAS","0058c00000BxeO9AAJ","false","overall budget","","","","true","false","0.0","5.3028","100.2058","-0.2058","94.6972","-180.0","4638.0","87463.0","87643.0","82825.0","42507880177204313","0.0","0.0","0.0","0.0","0.0","0.0",""
"a25Ka000003Td4TIAS","0058c00000BxeO9AAJ","false","AA budget 2","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42513768554706735","","","","0.0","0.0","0.0",""
"a258c000004VBJvAAO","0058c00000BxeO9AAJ","false","CLA Simple Budget 2 Template","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42516101622084174","","","","0.0","0.0","0.0",""
"a258c000004VBJwAAO","0058c00000BxeO9AAJ","false","CLA Complex Budget 1 Template","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42522583177688671","","","","0.0","0.0","0.0",""
"a25Ka000003Td4FIAS","0058c00000BxeO9AAJ","false","Security budget","","","","true","false","0.0","83.3748","47.7401","52.2599","16.6252","3989.0","6364.0","7633.0","3644.0","1269.0","42529092827833181","0.0","0.0","0.0","0.0","0.0","0.0",""
"a258c000004VBJxAAO","0058c00000BxeO9AAJ","false","CLA Complex Budget 1 Template","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42542914142876583","","","","0.0","0.0","0.0",""
"a258c000004VBLOAA4","0058c00000BxeO9AAJ","false","Programming Budget","","","Budget for programming tools and classes_Metzger","true","false","3000.0","80.0","50.0","20.0","20.0","2000.0","8000.0","10000.0","5000.0","2000.0","42580408335031508","0.0","0.0","0.0","0.0","0.0","0.0",""
"a25Ka000003SBEjIAO","0058c00000BxeO9AAJ","false","Hello","","","","false","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42591324258334766","","","","0.0","0.0","0.0",""
"a25Ka000003SBbvIAG","0058c00000BxeO9AAJ","false","test1","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42599791086129440","","","","0.0","0.0","0.0",""
"a258c000004VBJyAAO","0058c00000BxeO9AAJ","false","CLA Simple Budget 1 Template","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42618541838166399","","","","0.0","0.0","0.0",""
"a25Ka000003Td4SIAS","0058c00000BxeO9AAJ","false","AA budget 1","","","","true","false","0.0","0.0","0.0","100.0","100.0","425.0","","425.0","","425.0","42630031178698104","0.0","0.0","0.0","0.0","0.0","0.0",""
"a25Ka000003Td4QIAS","0058c00000BxeO9AAJ","false","A budget 1","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42649749863455617","","","","0.0","0.0","0.0",""
"a258c000004VBJzAAO","0058c00000BxeO9AAJ","false","CLA Simple Budget 2 Template","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42658567736529257","","","","0.0","0.0","0.0",""
"a258c000004VBK0AAO","0058c00000BxeO9AAJ","false","CLA Simple Budget 1 Template","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42663125339013752","","","","0.0","0.0","0.0",""
"a25Ka000003SBA3IAO","0058c00000BxeO9AAJ","false","TravelBudget","","","","true","false","0.0","50.0","0.0","100.0","50.0","10000.0","5000.0","10000.0","0.0","5000.0","42663723825006159","0.0","0.0","0.0","0.0","0.0","0.0",""
"a25Ka000003Td4VIAS","0058c00000BxeO9AAJ","false","AA budget 4","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42666151341517648","","","","0.0","0.0","0.0",""
"a258c000004VBK1AAO","0058c00000BxeO9AAJ","false","CLA Complex Budget 1 Template","","a258c000004VBK2AAO","","false","false","0.0","0.0","0.0","100.0","100.0","500000.0","0.0","500000.0","0.0","500000.0","42677360520917603","0.0","0.0","0.0","0.0","0.0","0.0",""
"a25Ka000003Td4KIAS","0058c00000BxeO9AAJ","false","annual budget","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42690342141278924","","","","0.0","0.0","0.0",""
"a258c000004VBCSAA4","0058c00000BxeO9AAJ","false","Test User Budget","","","","true","false","500.0","150.0","100.0","-50.0","-50.0","-500.0","1500.0","1000.0","1000.0","-500.0","42693514141402985","0.0","0.0","0.0","0.0","0.0","0.0",""
"a258c000004VBK2AAO","0058c00000BxeO9AAJ","false","CLA Complex Budget 1 Template","","","","true","true","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42733685110282543","","","","0.0","0.0","0.0",""
"a25Ka000003Td4PIAS","0058c00000BxeO9AAJ","false","RS budget 12","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42747788292289601","","","","0.0","0.0","0.0",""
"a25Ka000003Td4NIAS","0058c00000BxeO9AAJ","false","semi annual budget","","","","true","false","0.0","","","","","0.0","0.0","0.0","0.0","0.0","42803096663066142","","","","0.0","0.0","0.0",""
"a25Ka000003SB4FIAW","0058c00000BxeO9AAJ","false","TrainingBudget","","","","true","false","0.0","50.0","0.0","100.0","50.0","50.0","25.0","50.0","0.0","25.0","42816171803932625","0.0","0.0","0.0","0.0","0.0","0.0",""
