"Id","IsDeleted","Name","LLC_BI__Spread_Statement_Type__c","LLC_BI__Debit__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Grand_Total__c","LLC_BI__Row_Number__c","LLC_BI__Title__c","LLC_BI__lookupKey__c","LLC_BI__Group_Type__c","LLC_BI__Is_Summary_Group__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Total_Type__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Color__c"
"a16bn00000108IeAAI","","Growing Crops - Total Adj.","a19bn000001uMUTAA2","false","false","false","true","","8.75","Growing Crops Change","016d2a8e-3f2d-4544-9f3f-3f28825f9603","Financial","false","","false","","","","Standard","false","","false",""
"a16bn00000108IgAAI","","Livestock Inventory - Total Adj.","a19bn000001uMUTAA2","false","false","false","true","","9.6875","Livestock Inventory Change","08a5945f-4709-433b-b1ec-56425a7efa3b","Financial","false","","false","","","","Standard","false","","false",""
"a16bn00000108JDAAY","","Accounts Payable - Total Adjust","a19bn000001uMUTAA2","false","false","false","true","","9.990234375","Accounts Payable Change","27517c44-e256-4580-9e53-d2b1920e0317","Financial","false","","false","","","","Standard","false","","false",""
"a16bn00000108VwAAI","","Cash After Financing","a19bn000001uMUhAAM","false","false","false","true","","220.0","Cash After Financing","3.423068353313185","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108JEAAY","","Income Taxes Payable - Total Adjust","a19bn000001uMUTAA2","false","false","false","true","","9.9951171875","Income Taxes Payable Change","32f979dd-ebaf-473b-a113-653d10211ff7","Financial","false","","false","","","","Standard","false","","false",""
"a16bn00000108JFAAY","","Other Current Liabilities - Total Adjust","a19bn000001uMUTAA2","false","false","false","true","","9.99755859375","Other Current Liabilities Change","3ecd0f86-6c20-4755-83f8-0b3483bf1c87","Financial","false","","false","","","","Standard","false","","false",""
"a16bn00000108WGAAY","","Book Other Income (Expense)","a19bn000001uMUkAAM","false","false","false","true","","60.0","Book Other Income (Expense)","42001515854377996","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108eGAAQ","","Change in Net Fixed Assets","a19bn000001uMdWAAU","false","false","false","true","","11.0","Change in Net Fixed Assets","42001865691724166","Financial","false","None","false","","","","Standard","false","","false",""
"a16bn00000108c3AAA","","Total Stated Net Worth (subT)","a19bn000001uMdGAAU","false","true","false","true","","50.0","Stated Net Worth (Subtotal)","42003406963362553","Financial","false","Total Equity","false","","","","Standard","false","","false",""
"a16bn00000108chAAA","","Partial Year Adjustment","a19bn000001uMdNAAU","false","false","false","true","","10.0","Partial Year Adjustment","42005280418166961","Decimal","false","None","false","","","","Standard","false","","false",""
"a16bn00000108e1AAA","","Coverage","a19bn000001uMdTAAU","false","false","false","true","","41.0","Coverage","42009109441138057","Decimal","false","None","true","","","","Standard","false","","false",""
"a16bn00000108cgAAA","","Unexplained Difference","a19bn000001uMdMAAU","false","false","false","true","","80.0","Balance Check","42013467159291865","Financial","false","None","false","","","","Standard","false","","true",""
"a16bn00000108eSAAQ","","Total Operating Expense","a19bn000001uMdXAAU","false","false","false","true","","40.0","Operating Expense","42014494498503595","Financial","false","None","false","","","","Standard","false","","false",""
