"Id","IsDeleted","Name","nFORCE__Rule_Engine_Context__c","nFORCE__Description__c","nFORCE__lookupKey__c","LastViewedDate","LastReferencedDate"
"a0nWD0000018DsLYAU","false","Lightning-Record-001-ContextRule","","","","","","","a0oWD00000GDaPbYAL","Lightning-Record-001-ContextRule","12387123981","",""
"a0nWD0000018DsiYAE","false","Loan Auto-Decision","","","","","","","a0oWD00000GDaPRYA1","The Loan Auto-Decision Rule context runs when the Auto-Decision Action item is selected from a loan","42225489045428711","",""
"a0nWD0000018DsMYAU","false","Retrieve Pricing Options Retail Pricing","","","","","","","a0oWD00000GDaPWYA1","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42412341569562522","",""
"a0nWD0000018DsjYAE","false","Retrieve Pricing Options","","","","","","","a0oWD00000GDaPSYA1","Create the pricing option(s) based on information in the Loan.","42512758419816123","",""
"a0nWD0000018DskYAE","false","DuplicateContentVersion","","","","","","","a0oWD00000GDaPrYAL","","42519183972381251","",""
"a0nWD0000018DslYAE","false","Proposed Pricing Option","","","","","","","a0oWD00000GDaPTYA1","Create the proposed pricing option based on information in the loan.","42586508393286456","",""
"a0nWD0000018DsZYAU","false","Retrieve Pricing Options Retail Pricing","","","","","","","a0oWD00000GDaPsYAL","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42622769876416433","",""
"a0nWD0000018DsmYAE","false","Credit Request Preprocessing","","","","","","","a0oWD00000GDaPpYAL","This is run before creating a credit request to determine the parameters for the request","42785310115177566","",""
"a0nWD0000018DsNYAU","false","Retrieve Pricing Options Retail Pricing","","","","","","","a0oWD00000GDaPUYA1","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42808589436267268","",""
"a0nWD0000018DsnYAE","false","Loan Auto-Policy Exception","","","","","","","a0oWD00000GDaPqYAL","The Loan Auto-Policy Exception context runs when the Auto-Policy Exception Action item is selected from a loan","42840682764586852","",""
"a0nWD0000018DsoYAE","false","Filter Pricing Options by DTI","","","","","","","a0oWD00000GDaPZYA1","Filters the pricing options based on the current max DTI","42849211174191981","",""
"a0nWD0000018DspYAE","false","CLA Inspection PlaceHolder Creation","","","","","","","a0oWD00000GDaPoYAL","The CLA Inspection PlaceHolder Creation rule runs when a new Valuation object is created in order to create one or more Document Manager placeholders.","42981872108012027","",""
"a0nWD0000018DsOYAU","false","Lightning-Record-002-ContextRule","","","","","","","a0oWD00000GDaPaYAL","Lightning-Record-002-ContextRule","98654209121456","",""
"a0nWD0000018DsPYAU","false","Retrieve Pricing Options Retail Pricing","","","","","","","a0oWD00000GDaPlYAL","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","a318c000000iFBoAAM","",""
"a0nWD0000018DsQYAU","false","Loan Auto-Decision","","","","","","","a0oWD00000GDaPcYAL","The Loan Auto-Decision Rule context runs when the Auto-Decision Action item is selected from a loan","a318c000001OE03AAG","",""
"a0nWD0000018DsRYAU","false","DuplicateContentVersion","","","","","","","a0oWD00000GDaPdYAL","","a318c000001OE04AAG","",""
"a0nWD0000018DsSYAU","false","Retrieve Pricing Options","","","","","","","a0oWD00000GDaPeYAL","Create the pricing option(s) based on information in the Loan.","a318c000001OE05AAG","",""
"a0nWD0000018DsTYAU","false","Filter Pricing Options by DTI","","","","","","","a0oWD00000GDaPfYAL","Filters the pricing options based on the current max DTI","a318c000001OE06AAG","",""
"a0nWD0000018DsUYAU","false","Credit Request Preprocessing","","","","","","","a0oWD00000GDaPgYAL","This is run before creating a credit request to determine the parameters for the request","a318c000001OE07AAG","",""
"a0nWD0000018DsVYAU","false","Proposed Pricing Option","","","","","","","a0oWD00000GDaPhYAL","Create the proposed pricing option based on information in the loan.","a318c000001OE08AAG","",""
"a0nWD0000018DsWYAU","false","Loan Auto-Policy Exception","","","","","","","a0oWD00000GDaPiYAL","The Loan Auto-Policy Exception context runs when the Auto-Policy Exception Action item is selected from a loan","a318c000001OE09AAG","",""
"a0nWD0000018DsXYAU","false","CLA Inspection PlaceHolder Creation","","","","","","","a0oWD00000GDaPjYAL","The CLA Inspection PlaceHolder Creation rule runs when a new Valuation object is created in order to create one or more Document Manager placeholders.","a318c000001OE0AAAW","",""
"a31bn000000i1ADAAY","","Retrieve Pricing Options Retail Pricing","a32bn000000i7qkAAA","Create the pricing option(s) based on information in the Loan specific to Retail Pricing.","42124860362386702","",""
"a31bn000000i1A6AAI","","Retrieve Pricing Options","a32bn000000i7qcAAA","Create the pricing option(s) based on information in the Loan.","Asdc6498yn","",""
"a31bn000000i1A5AAI","","DuplicateContentVersion","a32bn000000i7qbAAA","","asdadsfdfsfdsfds1","",""
"a31bn000000i1ACAAY","","CLA Inspection PlaceHolder Creation","a32bn000000i7qiAAA","The CLA Inspection PlaceHolder Creation rule runs when a new Valuation object is created in order to create one or more Document Manager placeholders.","asdtr134","",""
"a31bn000000i1AAAAY","","Loan Auto-Decision","a32bn000000i7qgAAA","The Loan Auto-Decision Rule context runs when the Auto-Decision Action item is selected from a loan","ashg5y5432","",""
"a31bn000000i1A8AAI","","Credit Request Preprocessing","a32bn000000i7qeAAA","This is run before creating a credit request to determine the parameters for the request","cfvasdf1435234","",""
"a31bn000000i1A7AAI","","Filter Pricing Options by DTI","a32bn000000i7qdAAA","Filters the pricing options based on the current max DTI","fffffff3341","",""
"a31bn000000i1A9AAI","","Proposed Pricing Option","a32bn000000i7qfAAA","Create the proposed pricing option based on information in the loan.","jj76u67j","",""
"a31bn000000i1ABAAY","","Loan Auto-Policy Exception","a32bn000000i7qhAAA","The Loan Auto-Policy Exception context runs when the Auto-Policy Exception Action item is selected from a loan","vhdchd635","",""
