"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","LLC_BI__Branch_Id__c","LLC_BI__City__c","LLC_BI__County__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Institution__c","LLC_BI__Location__Latitude__s","LLC_BI__Location__Longitude__s","LLC_BI__Location__c","LLC_BI__Mortgage_License_State__c","LLC_BI__Mortgage_License__c","LLC_BI__NMLS__c","LLC_BI__State__c","LLC_BI__Street__c","LLC_BI__Zip_Code__c","LLC_BI__lookupKey__c","AutorabitExtId__c"
"a1TWD000001oxEY2AY","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","IL","","","""813154123""","a1TVx00000F44g2MAB"
"a1TWD000001oxEj2AI","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","""Test123""","a1TVx00000F44gDMAR"
"a1TWD000001oxEb2AI","005al00000RVcKvAAL","false","DT-5180-Record02-SingleQuote","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","IL","","","'8612354123'","a1TVx00000F44g5MAB"
"a1TWD000001oxEk2AI","005al00000RVcKvAAL","false","Singlequote-DT5180","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","'Test123'","a1TVx00000F44gEMAR"
"a1TWD000001ox7l2AA","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","IL","","","/""813154123/""","a1TVx00000F44ZFMAZ"
"a1TWD000001oxEs2AI","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","/""Test123/""","a1TVx00000F44gMMAR"
"a1TWD000001oxO82AI","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-07-03T11:08:19.000Z","005al00000RVcKvAAL","2026-07-03T11:08:19.000Z","","","","","","","","","","","","","","IL","","","//""813154123//""","a1TVx00000F44pcMAB"
"a1TWD000001ox7m2AA","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:50.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","005al00000RVcKvAAL","2026-07-03T11:08:18.000Z","","","","","","","","","","","","","","","","","//""Test123//""","a1TVx00000F44ZGMAZ"
"a1TWD000001oxO92AI","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-07-03T11:08:19.000Z","005al00000RVcKvAAL","2026-07-03T11:08:19.000Z","","","","","","","","","","","","","","IL","","","///""813154123///""","a1TVx00000F44pdMAB"
"a1TWD000001oxXe2AI","005al00000RVcKvAAL","false","doublequote-DT5180","2026-04-09T10:14:52.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","005al00000RVcKvAAL","2026-07-03T11:08:20.000Z","","","","","","","","","","","","","","","","","///""Test123///""","a1TVx00000F44z8MAB"
"a1TWD000001oxOC2AY","005al00000RVcKvAAL","false","DT-5180-Record01-DoubleQuote","2026-04-09T10:14:51.000Z","005al00000RVcKvAAL","2026-07-03T11:08:19.000Z","005al00000RVcKvAAL","2026-07-03T11:08:19.000Z","","","","","","","","","","","","","","IL","","","////""813154123////""","a1TVx00000F44pgMAB"
