"Id","IsDeleted","LLC_BI__Activate__c","LLC_BI__External_Stage_Order__c","LLC_BI__External_Stage__c","LLC_BI__Is_Booked__c","LLC_BI__Is_Closed__c","LLC_BI__Is_Covenant__c","LLC_BI__Is_Excluded_From_Stage_Duration__c","LLC_BI__Is_Ready_To_Transmit__c","LLC_BI__Product_Type__c","LLC_BI__Stage__c","LLC_BI__Stage_and_Status__c","LLC_BI__Status__c","LLC_BI__lookupKey__c","Name"
"a1Vbn000008kKnlEAE","false","false","5.0","Complete","false","false","false","false","false","a0tbn000008f3QTAAY","Complete","Complete|Paid Out","Paid Out","42005864846853469","P-0000001451"
"a1Vbn000008Iqk0EAC","false","false","1.0","Underwriting","false","false","false","false","false","a0tbn000008H0TfAAK","Final Review","Final Review|Open","Open","42008822828734137","P-0000001431"
"a1Vbn000008Iqk8EAC","false","false","4.0","Complete","true","true","false","false","false","a0tbn000008H0TfAAK","Complete","Complete|Paid Out","Paid Out","42018266336386207","P-0000001439"
"a1Vbn000008Iqk3EAC","false","false","2.0","Processing","false","false","false","false","false","a0tbn000008H0TfAAK","Doc Prep","Doc Prep|Open","Open","42018722935640308","P-0000001434"
"a1Vbn000007ly3DEAQ","false","false","","","true","true","false","false","false","a0tbn000007pcYlAAI","Complete","Complete|Charge-Off","Charge-Off","42049215571710581","P-0000001398"
"a1Vbn000008Iqk1EAC","false","false","1.0","Underwriting","false","false","false","false","false","a0tbn000008H0TfAAK","Approval / Loan Committee","Approval / Loan Committee|Open","Open","42055478632658391","P-0000001432"
"a1Vbn000008kKoAEAU","false","false","5.0","Complete","false","false","false","false","false","a0tbn000008f3QUAAY","Complete","Complete|Paid Out","Paid Out","42069639220067540","P-0000001476"
"a1Vbn000008Iqk2EAC","false","false","2.0","Processing","false","false","false","false","false","a0tbn000008H0TfAAK","Processing","Processing|Open","Open","42070066773037515","P-0000001433"
"a1Vbn000008kKnmEAE","false","false","1.0","Application","false","false","false","false","false","a0tbn000008f3QVAAY","Qualification","Qualification|Open","Open","42070523236473312","P-0000001452"
"a1Vbn000008Iqk4EAC","false","false","3.0","Closing","false","true","false","false","false","a0tbn000008H0TfAAK","Closing","Closing|Open","Open","42092020650221473","P-0000001435"
"a1Vbn000008IqjpEAC","false","false","2.0","Processing","false","false","false","false","false","a0tbn000008H0TdAAK","Doc Prep","Doc Prep|Open","Open","42121367641846030","P-0000001420"
"a1Vbn000008IqjkEAC","false","false","0.0","Application","false","false","false","false","false","a0tbn000008H0TdAAK","Proposal","Proposal|Open","Open","42123682987924727","P-0000001415"
"a1Vbn000007lxzhEAA","false","false","","","false","true","false","false","false","a0tbn000007pcYmAAI","Boarding","Boarding|Open","Open","42137579483405148","P-0000001380"
"a1Vbn000008kKo1EAE","false","false","5.0","Complete","false","false","false","false","false","a0tbn000008f3QTAAY","Complete","Complete|Withdrawn","Withdrawn","42143118856682717","P-0000001467"
"a1Vbn000007ly3CEAQ","false","false","","","true","true","false","false","false","a0tbn000007pcYlAAI","Complete","Complete|Withdrawn","Withdrawn","42163610529506463","P-0000001397"
"a1Vbn000008kKnyEAE","false","false","4.0","Processing","false","false","false","false","false","a0tbn000008f3QUAAY","Processing","Processing|Open","Open","42168668858673561","P-0000001464"
"a1Vbn000008kKo5EAE","false","false","5.0","Complete","false","false","false","false","false","a0tbn000008f3QUAAY","Booked","Booked|Open","Open","42176110339756687","P-0000001471"
"a1Vbn000007lxzmEAA","false","false","","","true","true","false","false","false","a0tbn000007pcYmAAI","Complete","Complete|Charge-Off","Charge-Off","42176270736625653","P-0000001385"
"a1Vbn000008kKo9EAE","false","false","4.0","Processing","false","false","false","false","false","a0tbn000008f3QUAAY","Closing","Closing|Open","Open","42206427720272091","P-0000001475"
"a1Vbn000008kKo4EAE","false","false","2.0","Underwriting","false","false","false","false","false","a0tbn000008f3QUAAY","Credit Underwriting","Credit Underwriting|Open","Open","42222223668205573","P-0000001470"
"a1Vbn000008IqjbEAC","false","false","2.0","Processing","false","false","false","false","false","a0tbn000008H0TeAAK","Doc Prep","Doc Prep|Open","Open","42247285589334626","P-0000001406"
"a1Vbn000007lxzsEAA","false","false","","","true","true","false","false","false","a0tbn000007pcYnAAI","Complete","Complete|Withdrawn","Withdrawn","42254186496941479","P-0000001391"
"a1Vbn000008IqjVEAS","false","false","0.0","Application","false","false","false","false","false","a0tbn000008H0TeAAK","Qualification","Qualification|Open","Open","42260204552843784","P-0000001400"
"a1Vbn000008kKnxEAE","false","false","3.0","Approval","false","false","false","false","false","a0tbn000008f3QUAAY","Approval/Loan Committee","Approval/Loan Committee|Open","Open","42260302185624709","P-0000001463"
"a1Vbn000007ly39EAA","false","false","","","true","true","false","false","false","a0tbn000007pcYfAAI","Complete","Complete|Withdrawn","Withdrawn","42274675648552420","P-0000001394"
"a1Vbn000007lxznEAA","false","false","","","true","true","false","false","false","a0tbn000007pcYmAAI","Complete","Complete|Paid Out","Paid Out","42288345429392701","P-0000001386"
"a1Vbn000008IqjnEAC","false","false","1.0","Underwriting","false","false","false","false","false","a0tbn000008H0TdAAK","Approval / Loan Committee","Approval / Loan Committee|Open","Open","42289368612454748","P-0000001418"
"a1Vbn000008kKnhEAE","false","false","4.0","Processing","false","false","false","false","false","a0tbn000008f3QTAAY","Processing","Processing|Open","Open","42307285382504822","P-0000001447"
"a1Vbn000008kKneEAE","false","false","2.0","Underwriting","false","false","false","false","false","a0tbn000008f3QTAAY","Credit Underwriting","Credit Underwriting|Open","Open","42307838036208184","P-0000001444"
"a1Vbn000008IqjYEAS","false","false","1.0","Underwriting","false","false","false","false","false","a0tbn000008H0TeAAK","Final Review","Final Review|Open","Open","42311920148400908","P-0000001403"
"a1Vbn000008kKnfEAE","false","false","2.0","Underwriting","false","false","false","false","false","a0tbn000008f3QTAAY","Final Review","Final Review|Open","Open","42321896685659483","P-0000001445"
"a1Vbn000008kKnkEAE","false","false","5.0","Complete","true","true","false","false","false","a0tbn000008f3QTAAY","Booked","Booked|Open","Open","42326302881235000","P-0000001450"
"a1Vbn000008IqjzEAC","false","false","1.0","Underwriting","false","false","false","false","false","a0tbn000008H0TfAAK","Credit Underwriting","Credit Underwriting|Open","Open","42328201126475064","P-0000001430"
