"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Product_Type__c","LLC_BI__Classification__c","LLC_BI__Credit_Underwriting_Enabled_Online__c","LLC_BI__Default_App__c","LLC_BI__Deposit_Rate_Structure__c","LLC_BI__Description__c","LLC_BI__Disable_Id_Document_Save__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Institution__c","LLC_BI__Learn_More__c","LLC_BI__Maintenance_App__c","LLC_BI__Maintenance_Screen_Section__c","LLC_BI__Maximum_Funding_Amount__c","LLC_BI__Minimum_Funding_Amount__c","LLC_BI__Order__c","LLC_BI__Other_Disclosures_Description__c","LLC_BI__Other_Disclosures_Received__c","LLC_BI__Product_Display_Name__c","LLC_BI__Product_Feature__c","LLC_BI__RealEstate_Type__c","LLC_BI__Screen_Section__c","LLC_BI__lookupKey__c","LLC_BI__Product_Line_Name__c","LLC_BI__Product_Type_Name__c","LLC_BI__RealEstate__c","nCinoCB__Onboarding_Product_Id__c","cm_Days_to_Close__c","cm_Display_Account_Options_Online__c","cm_Gross_Annual_Micro_Bus_Revenue_Cap__c","cm_Gross_Annual_Small_Bus_Revenue_Cap__c","cm_Maximum_Micro_Business_Loan_Amount__c","cm_Maximum_Small_Business_Loan_Amount__c","cm_Product_Validation__c","cm_Static_Name__c","nPortal__Can_Pledge_Multiple_Collateral__c","nPortal__External_Name__c","nPortal__OA_Approval_Next_Steps__c","nPortal__OA_Auto_Decision_Enabled__c","nPortal__OA_Collapsed_Offer_Card_Summary__c","nPortal__OA_Collateral_Required__c","nPortal__OA_Deposit_Funding_Failure_Next_Steps__c","nPortal__OA_Deposit_Funding_Next_Steps__c","nPortal__OA_Expanded_Offer_Summary_Card__c","nPortal__OA_Is_Hidden__c","nPortal__OA_Not_Approved_Next_Steps__c","nPortal__OA_Offers_Accepted_Next_Steps__c","nPortal__OA_Offers_Enabled__c","nPortal__OA_Product_Image__c","nPortal__Online_Application_AS_Screen__c","nPortal__Online_Application_Enabled__c","nPortal__Online_Application_Group__c","nPortal__Online_Application_Header_Text__c","nPortal__Online_Application_Subheader_Text__c","nPortal__Online_Application_Topbar_Fieldset__c","nPortal__Online_Application_Topbar_Text__c","nPortal__Online_Application_Type__c","nPortal__Online_Application_Your_Account_Fieldset__c","nPortal__Product_Marketing__c","nPortal__Suggested_Collateral_Enabled__c","nPortal__Your_Products_Component_Field_Set__c"
"a48WD000001PbxGYAS","false","Money Market Savings","2026-07-31T14:36:31.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","","","","a47WD000000Qj57YAC","","false","","","","false","","","","","","","","","","false","","","","","1-1-1","Personal","Personal Savings","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a48WD000001PbwiYAC","false","Platinum Checking Account","2026-07-31T14:36:31.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","","","","a47WD000000Qj4xYAC","","false","","","","false","","","","","","","","","","false","","","","","1-2-2","Personal","Personal Checking","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a48WD000001PbxHYAS","false","Premier Business Checking","2026-07-31T14:36:31.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","","","","a47WD000000Qj58YAC","","false","","","","false","","","","","","","","","","false","","","","","2-2-3","Business","Business Checking","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a48WD000001PbwqYAC","false","Advantage Business Checking","2026-07-31T14:36:31.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","","","","a47WD000000Qj58YAC","","false","","","","false","","","","","","","","","","false","","","","","2-2-4","Business","Business Checking","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a48WD000001PbxIYAS","false","Business Savings","2026-07-31T14:36:31.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","","","","a47WD000000Qj59YAC","","false","Deposit_Your_Account_Fields_Config","","","false","","","","","","","","","","false","","","","","3-3-4","Business","Business Savings","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a48WD000001PbxJYAS","false","Business Money Market Savings","2026-07-31T14:36:31.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","","","","a47WD000000Qj59YAC","","false","","","","false","","","","","","","","","","false","","","","","3-3-5","Business","Business Savings","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a48WD000001PbwwYAC","false","2 Year Jumbo Business CD","2026-07-31T14:36:31.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","","","","a47WD000000Qj5AYAS","","false","","","","false","","","","","","","","","","false","","","","","4-4-1","Business","Business CD","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a48WD000001PbxKYAS","false","6 Month Promo Business CD","2026-07-31T14:36:31.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","","","","a47WD000000Qj5AYAS","","false","","","","false","","","","","","","","","","false","","","","","4-4-2","Business","Business CD","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a48WD000001PbxLYAS","false","5 Year Fixed CD","2026-07-31T14:36:31.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","","","","a47WD000000Qj5AYAS","","false","","","","false","","","","","","","","","","false","","","","","4-4-3","Business","Business CD","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a48WD000001PbxMYAS","false","3 Year Step Up Business CD","2026-07-31T14:36:31.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","005al00000RVcKvAAL","2026-08-06T11:32:53.000Z","","","","a47WD000000Qj5AYAS","","false","","","","false","","","","","","","","","","false","","","","","4-4-6","Business","Business CD","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
