"Id","OwnerId","IsDeleted","Name","LLC_BI__Description__c","LLC_BI__FScreen__c","LLC_BI__Is_Disabled__c","LLC_BI__Is_Template__c","LLC_BI__Linked_Placeholder_Id__c","LLC_BI__Object_API_Name__c","LLC_BI__lookupKey__c"
"a24WD00000Cxm8FYAR","005al00000RVcKvAAL","false","a24WD00000Cxm8F","","","false","true","","","2.82658750812792E"
"a24WD00000CxoQhYAJ","005al00000RVcKvAAL","false","a24WD00000CxoQh","","","false","true","","","4.818051020908376"
"a24WD00000Cxo3CYAR","005al00000RVcKvAAL","false","a24WD00000Cxo3C","","","false","true","","","42001109617472480"
"a24WD00000CxoQZYAZ","005al00000RVcKvAAL","false","a24WD00000CxoQZ","","","false","true","","","42001151127717540"
"a24WD00000CxoNQYAZ","005al00000RVcKvAAL","false","a24WD00000CxoNQ","","","false","true","","","42001232635895905"
"a24WD00000CxoVpYAJ","005al00000RVcKvAAL","false","a24WD00000CxoVp","","","false","true","","","42001267180399441"
"a24WD00000CxoENYAZ","005al00000RVcKvAAL","false","a24WD00000CxoEN","","","false","true","","","42001544575701836"
"a24WD00000CxoEwYAJ","005al00000RVcKvAAL","false","a24WD00000CxoEw","","","false","true","","","42001700000718497"
"a24WD00000CxnoYYAR","005al00000RVcKvAAL","false","a24WD00000CxnoY","","","false","true","","","42002088273361961"
"a24WD00000CxdFeYAJ","005al00000RVcKvAAL","false","a24WD00000CxdFe","","","false","true","","","42003328143840717"
"a24WD00000CxnwWYAR","005al00000RVcKvAAL","false","a24WD00000CxnwW","","","false","true","","","42003514293842700"
"a24WD00000CxoKJYAZ","005al00000RVcKvAAL","false","a24WD00000CxoKJ","","","false","true","","","42003712061992439"
"a24WD00000CxoGuYAJ","005al00000RVcKvAAL","false","a24WD00000CxoGu","","","false","true","","","42003832417695077"
"a24WD00000Cxm8DYAR","005al00000RVcKvAAL","false","a24WD00000Cxm8D","","","false","true","","","42003855514143813"
"a24WD00000CxoNxYAJ","005al00000RVcKvAAL","false","a24WD00000CxoNx","","","false","true","","","42005122426950504"
"a24WD00000CxntvYAB","005al00000RVcKvAAL","false","a24WD00000Cxntv","","","false","true","","","42005318793158638"
"a24WD00000CxnuwYAB","005al00000RVcKvAAL","false","a24WD00000Cxnuw","","","false","true","","","42005329572465081"
"a24WD00000CxnkNYAR","005al00000RVcKvAAL","false","a24WD00000CxnkN","","","false","true","","","42005790995778882"
"a24WD00000CxnrEYAR","005al00000RVcKvAAL","false","a24WD00000CxnrE","","","false","true","","","42006449326033642"
"a24WD00000CxnqfYAB","005al00000RVcKvAAL","false","a24WD00000Cxnqf","","","false","true","","","42006452711397002"
"a24WD00000CxkqdYAB","005al00000RVcKvAAL","false","a24WD00000Cxkqd","","","false","true","","","42006480354647596"
"a24WD00000CxoKjYAJ","005al00000RVcKvAAL","false","a24WD00000CxoKj","","","false","true","","","42006792600728865"
"a24WD00000CxoFQYAZ","005al00000RVcKvAAL","false","a24WD00000CxoFQ","","","false","true","","","42006818279064909"
"a24WD00000Cxo9fYAB","005al00000RVcKvAAL","false","a24WD00000Cxo9f","","","false","true","","","42006979677192942"
"a24WD00000CxoTiYAJ","005al00000RVcKvAAL","false","a24WD00000CxoTi","","","false","true","","","42007742895058765"
"a24WD00000CxoAcYAJ","005al00000RVcKvAAL","false","a24WD00000CxoAc","","","false","true","","","42007789701507381"
"a24WD00000Cxo1lYAB","005al00000RVcKvAAL","false","a24WD00000Cxo1l","","","false","true","","","42007828090991997"
"a24WD00000CxoApYAJ","005al00000RVcKvAAL","false","a24WD00000CxoAp","","","false","true","","","42008055760046519"
"a24WD00000CxnwaYAB","005al00000RVcKvAAL","false","a24WD00000Cxnwa","","","false","true","","","42008237259113866"
"a24WD00000CxoJeYAJ","005al00000RVcKvAAL","false","a24WD00000CxoJe","","","false","true","","","42008255516463453"
"a24WD00000CxnygYAB","005al00000RVcKvAAL","false","a24WD00000Cxnyg","","","false","true","","","42008336890507780"
"a24WD00000CxkqjYAB","005al00000RVcKvAAL","false","a24WD00000Cxkqj","","","false","true","","","42008346992002832"
"a24WD00000CxoITYAZ","005al00000RVcKvAAL","false","a24WD00000CxoIT","","","false","true","","","42008591571568574"
"a24WD00000Cxo5WYAR","005al00000RVcKvAAL","false","a24WD00000Cxo5W","","","false","true","","","42008615910666966"
"a24WD00000CxoFEYAZ","005al00000RVcKvAAL","false","a24WD00000CxoFE","","","false","true","","","42009203677186125"
"a24WD00000CxkqGYAR","005al00000RVcKvAAL","false","a24WD00000CxkqG","","","false","true","","","42009573444344398"
"a24WD00000CxoAPYAZ","005al00000RVcKvAAL","false","a24WD00000CxoAP","","","false","true","","","42010393660145672"
"a24WD00000Cxnp4YAB","005al00000RVcKvAAL","false","a24WD00000Cxnp4","","","false","true","","","42010522410557205"
"a24WD00000Cxm9UYAR","005al00000RVcKvAAL","false","a24WD00000Cxm9U","","","false","true","","","42011146949003693"
"a24WD00000CxdFhYAJ","005al00000RVcKvAAL","false","a24WD00000CxdFh","","","false","true","","","42011224950629193"
"a24WD00000CxoMlYAJ","005al00000RVcKvAAL","false","a24WD00000CxoMl","","","false","true","","","42012375205710290"
"a24WD00000CxoUvYAJ","005al00000RVcKvAAL","false","a24WD00000CxoUv","","","false","true","","","42012926959419702"
